category,decade_from,decade_to,cosine_sim
administrative,1790,1800,0.8095748359173167
administrative,1800,1810,0.8926708227975374
administrative,1810,1820,0.7332142699170167
administrative,1820,1830,0.7782056493923598
administrative,1830,1840,0.8266520130894299
administrative,1840,1850,0.777459438947272
administrative,1850,1860,0.7755409579840206
administrative,1860,1870,0.7400678425704709
administrative,1870,1880,0.8069783461227726
administrative,1880,1890,0.5864647290141387
administrative,1890,1900,0.7585987061479835
educational,1700,1710,0.8840716541580332
educational,1710,1720,0.9367698552034642
educational,1720,1730,0.8883858869427896
educational,1730,1740,0.9142645306013029
educational,1740,1750,0.9060405628211157
educational,1750,1760,0.9206766441012504
educational,1760,1770,0.324326473103077
educational,1770,1780,0.4361313619324689
educational,1780,1790,0.3671157722118396
educational,1790,1800,0.377678858324393
educational,1800,1810,0.4020943245083029
educational,1810,1820,0.37120022699852573
educational,1820,1830,0.42588692904608855
educational,1830,1840,0.6187558127512148
educational,1840,1850,0.6794131010381568
educational,1850,1860,0.588474993999277
educational,1860,1870,0.44336679752943775
educational,1870,1880,0.5583774963541667
educational,1880,1890,0.6154053230371096
educational,1890,1900,0.5688786090289726
financial,1700,1710,0.9532155900714351
financial,1710,1720,0.9628914655086798
financial,1720,1730,0.9466699985684852
financial,1730,1740,0.8854312753608239
financial,1740,1750,0.8854654868123555
financial,1750,1760,0.8094689917024028
financial,1760,1770,0.5343421242904471
financial,1770,1780,0.570511027343058
financial,1780,1790,0.5789843005340567
financial,1790,1800,0.6069257401591296
financial,1800,1810,0.5509779167452967
financial,1810,1820,0.5202000523070557
financial,1820,1830,0.6613496316679438
financial,1830,1840,0.5970007350036711
financial,1840,1850,0.5637316263406722
financial,1850,1860,0.5452095658255399
financial,1860,1870,0.45513582027093624
financial,1870,1880,0.3639925969712442
financial,1880,1890,0.8340387078175587
financial,1890,1900,0.7748152538393586
domestic,1700,1710,0.8996938115734882
domestic,1710,1720,0.8788039975985826
domestic,1720,1730,0.8382837305273886
domestic,1730,1740,0.8903307749424769
domestic,1740,1750,0.9151963132441178
domestic,1750,1760,0.9349963677586388
domestic,1760,1770,0.6956408519616242
domestic,1770,1780,0.6429746679641116
domestic,1780,1790,0.4958678815868327
domestic,1790,1800,0.5933577748224371
domestic,1800,1810,0.7181667596031859
domestic,1810,1820,0.44003697627149485
domestic,1820,1830,0.6580829173005809
domestic,1830,1840,0.7412032977208938
domestic,1840,1850,0.7480955464265556
domestic,1850,1860,0.5844206482977922
domestic,1860,1870,0.47855094534790205
domestic,1870,1880,0.5697988323275476
domestic,1880,1890,0.3578856250028877
domestic,1890,1900,0.7019962147072746
charitable,1700,1710,0.9048991048159636
charitable,1710,1720,0.8908459873142637
charitable,1720,1730,0.9093672495778107
charitable,1730,1740,0.9356259883996593
charitable,1740,1750,0.9529110177743809
charitable,1750,1760,0.9063408593609398
charitable,1760,1770,0.5085617806381053
charitable,1770,1780,0.6422491097271447
charitable,1780,1790,0.44879885466035546
charitable,1790,1800,0.5780944143415074
charitable,1800,1810,0.5172638161716703
charitable,1810,1820,0.5934514410445968
charitable,1820,1830,0.5197365426249736
charitable,1830,1840,0.5383227232266948
charitable,1840,1850,0.6546121480275349
charitable,1850,1860,0.58978781632829
charitable,1860,1870,0.6604241701355977
charitable,1870,1880,0.4631727755163722
charitable,1880,1890,0.3873439195515849
charitable,1890,1900,0.6643282388419369
other,1700,1710,0.9250305344171859
other,1710,1720,0.9022690723948625
other,1720,1730,0.7500016441757419
other,1730,1740,0.7891184458841328
other,1740,1750,0.8557883816222678
other,1750,1760,0.8324831060857681
other,1760,1770,0.2212462158247215
other,1770,1780,0.29303245577003467
other,1780,1790,0.258421778172097
other,1790,1800,0.3732981855562764
other,1800,1810,0.41676763400318056
other,1810,1820,0.41395911567781446
other,1820,1830,0.6224805634273861
other,1830,1840,0.4825785270863358
other,1840,1850,0.39176870964707666
other,1850,1860,0.5508441359053188
other,1860,1870,0.5643635925686382
other,1870,1880,0.43301040480055103
other,1880,1890,0.22011178776575205
other,1890,1900,0.6896777714416655
