term,log_odds,scope
70 timber,5.209417516886244,overall
8d,1.1079554868952795,overall
9d,5.329561828728307,overall
abbreviated,-1.9310420748961739,overall
abbreviated coll,-3.332077967052958,overall
abbreviated college,-4.7566222103068485,overall
abbreviated collegiate,-5.791431542416341,overall
abbreviated entry,-1.4043501370808356,overall
abbreviated latin,-2.5725557175481404,overall
abbreviated ledger,-1.174426898781247,overall
abbreviated reference,-0.6948538185193606,overall
abbreviation,-0.38781711400027685,overall
abbreviation coll,-2.5725557175481404,overall
abbreviation pro,3.205096605674516,overall
abbreviation uncertain,-0.375331140211921,overall
abbreviation unclear,0.32317798348940985,overall
academic,-0.586640233879128,overall
accompanying,-2.5725557175481404,overall
account,-0.33775469957603554,overall
account bible,3.093870970564292,overall
account book,-3.8168798173976435,overall
account books,-4.293219265092465,overall
account college,-1.6852525225472377,overall
account covering,-0.19132749723498158,overall
account dated,-2.874836589421074,overall
account day,-2.0080259148102884,overall
account dinner,-3.1733295779770705,overall
account dr,4.192483259232401,overall
account item,-3.67116800621625,overall
account merton,0.2231532310496215,overall
account michaelmas,0.8966463932280726,overall
account midsummer,-1.4972002910442979,overall
account mr,-1.6137935585650924,overall
account new,0.05998693104592444,overall
account paid,0.7714832502740664,overall
account payment,-0.375331140211921,overall
account previous,0.2606576265080758,overall
account recorded,-0.586640233879128,overall
account reference,0.13549448355406982,overall
account relating,-0.1250048543039089,overall
account respect,-4.688102263870093,overall
account settlement,-0.96311780511404,overall
account work,-1.9365669508281436,overall
accounted,1.925665390096987,overall
accounted mr,5.23739136892865,overall
accounting,-0.3028117307433369,overall
accounting year,0.7714832502740664,overall
accounts,-1.0460191066471234,overall
acquisition,-2.874836589421074,overall
acquittance,-1.4972002910442979,overall
acquittances,-2.5725557175481404,overall
act,1.015498376073361,overall
act supper,1.6337067608779456,overall
acting,-1.4972002910442979,overall
ad,-1.6000947142069306,overall
adams,-1.0892690904409401,overall
added,0.6959756977659214,overall
additional,-0.5949175703262535,overall
additional annual,2.1064843170064065,overall
additional dividend,-1.1607280544230851,overall
additional half,2.8256069839696125,overall
additional librarian,-4.688102263870093,overall
additional payment,-2.000333569187133,overall
additional receipt,3.205096605674516,overall
additional small,-3.3502602861361486,overall
additional stipend,-2.5725557175481404,overall
additional sum,0.7714832502740664,overall
adis,-3.1066382034783984,overall
adjustment,0.3688712111483083,overall
administrative,-3.1066382034783984,overall
admission,2.583045346798301,overall
admission fees,3.757165187974556,overall
advance,-2.718267528729534,overall
advance payment,-2.5725557175481404,overall
advanced,-0.8967951621829674,overall
advanced college,-3.078664351435992,overall
advertisement,-3.1066382034783984,overall
advertisements,-3.5005424891854866,overall
advertising,-3.0351792394962533,overall
aedis,-3.1066382034783984,overall
aedis christi,-2.683781352658365,overall
affair,-2.683781352658365,overall
affairs,-1.8596059096920152,overall
agency,-2.1536314560659715,overall
agency fee,-1.3487802859260247,overall
agency management,-3.3502602861361486,overall
agency services,-2.958218198360125,overall
agent,-1.5494509813881758,overall
aggregate,2.742473083726403,overall
aggregate corn,5.209417516886244,overall
aggregate money,5.209417516886244,overall
agricultural,-3.294690434981338,overall
agricultural society,-2.683781352658365,overall
alderman,0.8796968349142992,overall
alexander,0.06960238974536652,overall
alias,3.3961518424372255,overall
alias lane,3.305180064231499,overall
alias lord,3.305180064231499,overall
allocated,1.049114986872346,overall
allocation,-1.110821648826674,overall
allotment,-0.586640233879128,overall
allowance,-2.6688973569591274,overall
allowance granted,-3.092749091317731,overall
allowance mr,-3.8502162376652356,overall
allowance paid,-4.60943764480918,overall
allowances,-3.589489975201983,overall
allowances college,-3.0351792394962533,overall
allowed,-1.63089131332835,overall
allowed mr,-2.2730391874493563,overall
almanac,-2.683781352658365,overall
alms,-3.714063973135634,overall
alms beadles,-4.688102263870093,overall
alms distributed,-4.466730192204265,overall
alms distribution,-2.7838648112153472,overall
alms given,-5.311496405669689,overall
alms paid,-3.4029040196215705,overall
alms payment,-2.0080259148102884,overall
alms payments,-3.1733295779770705,overall
alms poor,-2.7838648112153472,overall
alms small,-4.702187003751831,overall
ambiguous,-1.3256578685051705,overall
ambiguous reference,-4.688102263870093,overall
amounts,0.962854642587939,overall
amounts owing,3.3961518424372255,overall
andrew,-0.27342485942218214,overall
andrews,0.2606576265080756,overall
animarum,-5.190380827057625,overall
anish,3.4795334513762763,overall
ann,-2.401930200517377,overall
anne,-1.0892690904409401,overall
annotated,0.6283824066333932,overall
annual,2.9246449823418113,overall
annual allowance,-3.1066382034783984,overall
annual annuity,2.780655596107346,overall
annual arrear,5.694379630062316,overall
annual arrears,6.1383934082877145,overall
annual augmentation,0.6120555133459644,overall
annual capon,3.305180064231499,overall
annual capons,3.205096605674516,overall
annual corn,5.967767891256951,overall
annual exchequer,3.3961518424372255,overall
annual feast,-1.3117390142456757,overall
annual ferry,3.924219272637722,overall
annual festival,-0.3583815818981477,overall
annual half,3.3961518424372255,overall
annual income,5.491766243362663,overall
annual michaelmas,2.206567775563389,overall
annual money,5.264603932453535,overall
annual payment,2.146065455465446,overall
annual payments,1.0227976785549724,overall
annual pension,-1.2899397859030914,overall
annual precept,3.205096605674516,overall
annual present,2.8756174045442737,overall
annual quit,5.022831561305832,overall
annual quitrent,3.924219272637722,overall
annual receipt,5.165932404946505,overall
annual receipts,3.9742296932123837,overall
annual redeemed,1.2300581836961793,overall
annual rent,7.2370056969558245,overall
annual rents,3.757165187974556,overall
annual stipend,-3.0351792394962533,overall
annual toll,3.305180064231499,overall
annually,0.8796968349142992,overall
annuities,1.4974202536570027,overall
annuity,2.1898659259454574,overall
annuity paid,1.9952586818961822,overall
annuity payable,3.305180064231499,overall
annuity payment,3.50585075969365,overall
annuity received,4.230949540060197,overall
annuity rent,3.4795334513762763,overall
annuity thrup,2.52934116782644,overall
annum,2.8256069839696125,overall
