year,language,n_entries,total,share,era
1727,latin,46.22857142857143,179.9142857142857,0.2569477528982055,pre_1760
1727,mixed,51.77142857142857,179.9142857142857,0.2877560743211053,pre_1760
1728,english,82.91428571428571,183.9142857142857,0.4508311325151468,pre_1760
1728,latin,12.228571428571428,183.9142857142857,0.0664906012117446,pre_1760
1728,mixed,88.77142857142857,183.9142857142857,0.4826782662731086,pre_1760
1729,english,99.91428571428571,187.9142857142857,0.5317013836095484,pre_1760
1729,latin,56.22857142857143,187.9142857142857,0.29922457047285994,pre_1760
1729,mixed,31.771428571428572,187.9142857142857,0.16907404591759162,pre_1760
1730,english,136.9142857142857,261.9142857142857,0.522744627468092,pre_1760
1730,latin,12.228571428571428,261.9142857142857,0.04668921130140722,pre_1760
1730,mixed,112.77142857142857,261.9142857142857,0.43056616123050073,pre_1760
1731,english,101.91428571428571,167.9142857142857,0.6069423175089331,pre_1760
1731,latin,40.22857142857143,167.9142857142857,0.23957801599455505,pre_1760
1731,mixed,25.771428571428572,167.9142857142857,0.15347966649651185,pre_1760
1732,english,78.91428571428571,142.9142857142857,0.5521791283486606,pre_1760
1732,latin,25.228571428571428,142.9142857142857,0.17652938824470213,pre_1760
1732,mixed,38.77142857142857,142.9142857142857,0.27129148340663733,pre_1760
1733,english,85.91428571428571,166.9142857142857,0.5147209859637111,pre_1760
1733,latin,56.22857142857143,166.9142857142857,0.33687093461143447,pre_1760
1733,mixed,24.771428571428572,166.9142857142857,0.1484080794248545,pre_1760
1734,english,69.91428571428571,178.9142857142857,0.39076972213350364,pre_1760
1734,latin,41.22857142857143,178.9142857142857,0.23043755988502077,pre_1760
1734,mixed,67.77142857142857,178.9142857142857,0.37879271798147557,pre_1760
1735,english,65.91428571428571,143.9142857142857,0.4580107206670637,pre_1760
1735,latin,49.22857142857143,143.9142857142857,0.34206869168155646,pre_1760
1735,mixed,28.771428571428572,143.9142857142857,0.1999205876513798,pre_1760
1736,english,55.91428571428571,137.9142857142857,0.4054278019473793,pre_1760
1736,latin,46.22857142857143,137.9142857142857,0.3351978454526621,pre_1760
