year,L1_old,L3_old,L4_old,L2_old,texp,tinc,L1_new,L2_new,L3_admin_share,L3_struct_idx,L3_new,L4_securities_inc,L4_fee_inc,L4_new,era
1723,0.4282287714055403,0.26979336649430824,0.0,0.6816893424036281,428.1829814459373,1064.4940987305115,0.23429605017399685,0.0,0.13942354953502545,0.02914560672931478,0.11580595805297189,0.0,0.004270492184109617,0.004270492184109617,pre_industrial
1724,0.26331733282888403,0.02379319676416728,0.0,0.5810927482335441,403.65696904907355,864.3722850064481,0.25640742696649876,0.0,0.15792944539466597,0.027767190533804727,0.13030327149102983,0.0,0.0,0.0,pre_industrial
1725,0.5026255108330859,0.3671719823748316,0.004109495217004178,0.7225928065428233,374.5596032153241,535.0607148965281,0.359101390379215,0.004109495217004178,0.05397137051665486,0.020663223894386743,0.11809226257660434,0.0,0.01917852005753556,0.01917852005753556,pre_industrial
1726,0.5922240689995957,0.2102836799784376,0.0,0.7164201952515741,383.75741277065237,1849.3138877396223,0.3147432729886348,0.0,0.10026503750954585,0.009751209716108258,0.11622546309843983,0.0,0.004474481472850151,0.004474481472850151,pre_industrial
1727,0.4575878980451751,0.09173171237134767,0.01754507149271258,0.5399609120521173,125.78632745977131,1172.03954227922,0.2641085860330179,0.01754507149271258,0.0731159770670719,0.010788580923998658,0.10468224631614319,0.0,0.0,0.0,pre_industrial
1728,0.8819432693592199,0.5959685918273441,0.004274836353920826,0.5869247290156386,368.8150357368089,934.1770461074907,0.07181725074586988,0.004274836353920826,0.24018643036321263,0.008601307236655633,0.10238037338226788,0.0,0.0,0.0,pre_industrial
1729,0.14210888139588185,0.04020034700625266,0.007856745343241562,0.6112244545108751,269.7449754512381,1231.3654586556463,0.6222542311847317,0.007856745343241562,0.0893377418404426,0.0027909261409305966,0.11713305195110459,0.0,0.0,0.0,pre_industrial
1730,0.3420965639698521,0.19926708097999585,0.0,0.7253268457169901,471.3230056980057,2984.725560897436,0.3710733107916659,0.0,0.0778301441281475,0.020225756498371692,0.12399304210969367,0.0,0.0069978802776332946,0.0069978802776332946,pre_industrial
1731,0.4366162562037643,0.31072665979960673,0.0031604082779286453,0.5762359920896506,755.4470854555744,1969.6718484719868,0.4373302743702594,0.0031604082779286453,0.10726659799606705,0.03021672215654827,0.20736079017626416,0.0,0.009548982306099428,0.009548982306099428,pre_industrial
1732,0.34146132168384513,0.2867763356768827,0.005757135474056811,0.6286861347542269,562.9424448426082,1333.6594031056773,0.44492593928874413,0.005757135474056811,0.03900498288656376,0.0623820357269169,0.2021011842722756,0.0,0.0,0.0,pre_industrial
1733,0.507286043708401,0.15420706461925476,0.13570305539541952,0.6850282427396935,832.3300530429927,1374.3173331937467,0.346444106703003,0.1358026308893664,0.20559719092290762,0.08675112855559736,0.28033692410093447,0.0,0.04644836927627956,0.04644836927627956,pre_industrial
1734,0.5143781536291594,0.0054903367621942185,0.0021925695511360033,0.6949837445091922,972.3128553105934,1843.2636144620078,0.26614763970110644,0.0021925695511360033,0.15096866341272117,0.09039584735794319,0.2766615147717489,0.0,0.023342381770386753,0.023342381770386753,pre_industrial
1735,0.4929565314287152,0.1192213543445207,0.011775658606547066,0.6912013256602242,598.7452651515151,1492.801954201102,0.3685392935323741,0.011775658606547066,0.34767488254894846,0.09654602136238485,0.29972282474100836,0.0,0.017694241261909518,0.017694241261909518,pre_industrial
1736,0.5757299387897414,0.11208967173738991,0.03227259226736228,0.7128787132216583,662.2707991242474,1288.9994269978108,0.15315478189002815,0.03243401172550944,0.020283969110772487,0.11987786946563239,0.4160816540776606,0.0,0.019108264407291325,0.019108264407291325,pre_industrial
1737,0.457557209382053,0.06133045738936662,0.009015298688683827,0.6563471233080669,594.8035617183252,1840.0646581022295,0.1677427649058652,0.009015298688683827,0.3206457303659686,0.13785666760786847,0.43166590037220653,0.0,0.4108092945295536,0.4108092945295536,pre_industrial
1738,0.5757681286316962,0.11446310594603201,0.06732070365358593,0.7933413046366414,212.09819016747704,1239.7764299702865,0.3888899944280825,0.06732070365358593,0.21958330016715755,0.1591243748007699,0.49399844270933857,0.0,0.07920245184692808,0.07920245184692808,pre_industrial
1739,0.2837266631818739,0.011357843042353138,0.005188469207984047,0.7231533676269307,324.9106783413849,1149.3380552200751,0.4071722197484495,0.005188469207984047,0.16423699172039055,0.17371023432262722,0.47066781136649466,0.0,0.038684560746435975,0.038684560746435975,pre_industrial
1740,0.6257496406903319,0.006886908753166868,0.0018293351375599496,0.6695143968765637,3097.664583333333,2527.444791666667,0.05009351803341093,0.0018777587147306542,0.4701714127376874,0.17160342319163194,0.4573983043338148,0.02769595610190958,0.023120353354239932,0.05081630945614951,pre_industrial
1741,0.6089552103289539,0.1690485486258024,0.002015671391085648,0.6307016945491339,456.7574068544508,1758.827261869215,0.3244776959604856,0.002015671391085648,0.1319810781118062,0.16776839233616114,0.38378381784178567,0.028295046598404865,0.0,0.028295046598404865,pre_industrial
1742,0.6059180036992227,0.3550011948150671,0.00240844611948527,0.7442762111409498,548.451844329965,1880.958572749488,0.19203594605833332,0.1645269755373375,0.23274809347028863,0.15390884855891013,0.42847238751179384,0.026334645310732357,0.03005112213020946,0.056385767440941814,pre_industrial
1743,0.4528614408758649,0.2704058912337486,0.0,0.7460120024993098,378.28698681918286,1340.9016204845018,0.4815220106659136,0.24677144315676286,0.09083404837676091,0.1379595779134296,0.3803354329980787,0.036769887913125014,0.006342805665014065,0.04311269357813908,pre_industrial
1744,0.6764659032304361,0.10342978536833092,0.00037851128357907656,0.563881767737265,648.2943577411334,1505.2635453474677,0.2872774471937331,0.00037851128357907656,0.10518828570662538,0.13492486260212955,0.4115784893915114,0.032603822798223096,0.014671720259200391,0.047275543057423486,pre_industrial
1745,0.3097773898770405,0.13276411908922942,0.0034994386317194954,0.6888211129506908,488.5981517668132,2173.0774710959126,0.43074756757770105,0.0034994386317194954,0.07898732911595431,0.1410001501325422,0.4010439205067938,0.0,0.006916516132839448,0.006916516132839448,pre_industrial
1746,0.6905617074839812,0.31167706235713283,0.0198806948953169,0.6926856435140456,774.2687463528497,1507.5202214225508,0.1631410294154207,0.0198806948953169,0.21372597509483038,0.12820700872726887,0.28188290152452933,0.03225739248711888,0.034605461848577074,0.06686285433569596,pre_industrial
1747,0.4858616975552288,0.26607372500132714,0.04249453321255314,0.6921775615715773,588.9374979830251,1416.9117291122081,0.17534817057404264,0.04249453321255314,0.1701356722222127,0.11211451851178464,0.32687207216247394,0.03433483726183943,0.01606847607842635,0.05040331334026578,pre_industrial
1748,0.6647688740400918,0.2516854492869253,0.0012865263787773015,0.7100944653348367,805.3039064507838,1345.633352608584,0.1865762441408198,0.09373691034207642,0.34235439313852606,0.10730943702353443,0.28614392459186133,0.035810740237842996,0.016562467360002386,0.05237320759784538,pre_industrial
1749,0.9096874325883776,0.17756924429137522,0.011096146203099283,0.5876411623881151,1616.8759394288272,2224.1437206178643,0.07583602773789311,0.08606312416595019,0.1133745276936989,0.10028343254243377,0.2601865415234279,0.027391646626190296,0.006492035932664,0.033883682558854294,pre_industrial
1750,0.9057549985057114,0.07926913830340095,0.0007207918110041472,0.722997866704175,3378.964700732251,1645.2234559057626,0.02661747537368256,0.0007207918110041472,0.047581681641450234,0.08827948028930087,0.2579103732085593,0.062407515025879164,0.0045862266856227475,0.06699374171150191,pre_industrial
1751,0.6187312844481055,0.22493662785970098,0.016800246064210028,0.7962345187626118,556.9726685570258,1320.7388153749212,0.23432666438043787,0.016800246064210028,0.3307336319572357,0.08366850601405662,0.30989921160573347,0.035782229352162735,0.016889212254220815,0.052671441606383554,pre_industrial
1752,0.36538574609640595,0.2618306374651552,0.012045849609301388,0.8095978233349865,646.3390629872155,1638.4948939819146,0.2426537654964051,0.012118215163900443,0.0891211957201805,0.07601368586543515,0.27213360773885986,0.028546127866432666,0.013127650552575724,0.04167377841900839,pre_industrial
1753,0.8656036965328735,0.05992711061939703,0.0012690561801408978,0.6540281156505448,2371.2577160493825,2388.9486882716046,0.08665579291606333,0.008948473065096075,0.0067227437645412695,0.07468317758510551,0.24853987363461796,0.012020047947766167,0.0029553523773225964,0.014975400325088763,pre_industrial
1754,0.6474061466655753,0.24449513724896638,0.08781833373746858,0.6997137452371137,618.1952719217842,1970.7149404216311,0.2519425520446412,0.08781833373746858,0.11915091440106383,0.07454578289393018,0.18326599984913094,0.00020929745819864656,0.0027324945931489967,0.0029417920513476435,pre_industrial
1755,0.6781200636358211,0.23960823212438034,0.016528199833592105,0.658696793910545,839.5521400483967,1274.9867664851784,0.21266884265446492,0.12533509574083604,0.282457702782885,0.0626410286345752,0.1807881040371089,0.062276010242920926,0.0,0.062276010242920926,pre_industrial
1756,0.670415346839462,0.2510329888800695,0.044090265053448374,0.7347129386000751,504.6533393231506,1639.5674228811022,0.13507859617367565,0.044090265053448374,0.0865411007173431,0.06181130565210184,0.21728691016049445,0.03424960541600427,0.0002739968433280341,0.0345236022593323,pre_industrial
1757,0.5654700194222293,0.24645879818135968,0.019997374975851252,0.5923701085826684,628.4187796559904,2128.801527283511,0.257240568715906,0.019997374975851252,0.0842101847987506,0.07472469006018118,0.19830416519034566,0.03134438687331905,0.0,0.03134438687331905,pre_industrial
1758,0.8220056171910045,0.1288582473564059,0.0094886527598808,0.6166483225306755,1284.8641703377384,3041.052679882526,0.06634342580079258,0.022974482638422618,0.09799512567250578,0.07119942689252211,0.3036492160798624,0.03621514330181308,0.0,0.03621514330181308,pre_industrial
