skip_threshold,overall_binary_accuracy,performance_preservation_vs_oracle,performance_preservation_vs_ensemble,cost_reduction,avg_api_calls,oracle_avg,ensemble_avg,final_avg,avg_axis1,avg_axis2,avg_axis2_match,avg_axis2_sim,avg_axis2_frac,min_score,score_std,balanced_score,k,confidence_threshold
0.005,0.6363636363636364,0.9691386602154655,1.0067983177779625,0.08080808080808081,2.757575757575758,0.870560606060606,0.8379969696969697,0.8436939393939393,0.8283,0.8503,0.821,0.9702,0.7435,0.5861,0.1059,0.6178708422627002,7,0.6
0.005,0.6363636363636364,0.9741789512156919,1.012034468917585,0.06060606060606061,2.8181818181818183,0.870560606060606,0.8379969696969697,0.8480818181818183,0.8283,0.8565,0.827,0.971,0.7587,0.5861,0.1004,0.6139046966579431,7,0.7
0.02,0.696969696969697,0.9590302313034096,0.996297086486897,0.020202020202020204,2.9393939393939394,0.870560606060606,0.8379969696969697,0.8348939393939394,0.808,0.8464,0.8204,0.9652,0.7334,0.5861,0.1038,0.613670349746274,5,0.55
0.02,0.696969696969697,0.9590302313034096,0.996297086486897,0.020202020202020204,2.9393939393939394,0.870560606060606,0.8379969696969697,0.8348939393939394,0.808,0.8464,0.8204,0.9652,0.7334,0.5861,0.1038,0.613670349746274,5,0.6
0.01,0.5656565656565656,0.9644186086986791,1.0018948502742833,0.13131313131313133,2.606060606060606,0.870560606060606,0.8379969696969697,0.8395848484848486,0.8196,0.8481,0.8259,0.9671,0.7251,0.5861,0.1056,0.6098488492006224,3,0.7
0.02,0.6464646464646465,0.9642654506848599,1.0017357407092669,0.030303030303030304,2.909090909090909,0.870560606060606,0.8379969696969697,0.8394515151515151,0.8129,0.8508,0.8229,0.9656,0.7486,0.5861,0.0999,0.6037245993140098,3,0.65
0.02,0.6464646464646465,0.9642654506848599,1.0017357407092669,0.030303030303030304,2.909090909090909,0.870560606060606,0.8379969696969697,0.8394515151515151,0.8129,0.8508,0.8229,0.9656,0.7486,0.5861,0.0999,0.6037245993140098,3,0.55
0.02,0.6464646464646465,0.9642654506848599,1.0017357407092669,0.030303030303030304,2.909090909090909,0.870560606060606,0.8379969696969697,0.8394515151515151,0.8129,0.8508,0.8229,0.9656,0.7486,0.5861,0.0999,0.6037245993140098,3,0.6
0.01,0.6464646464646465,0.9616826496336391,0.9990525748628585,0.020202020202020204,2.9393939393939394,0.870560606060606,0.8379969696969697,0.8372030303030303,0.816,0.8463,0.8204,0.9648,0.7334,0.5861,0.1018,0.5996210299451434,7,0.55
0.005,0.6363636363636364,0.9615747428511756,0.9989404749420515,0.030303030303030304,2.909090909090909,0.870560606060606,0.8379969696969697,0.8371090909090908,0.8156,0.8463,0.8204,0.9648,0.7334,0.5861,0.102,0.5995761899768206,7,0.55
0.005,0.5858585858585859,0.9639521729293211,1.0014102893262795,0.0707070707070707,2.787878787878788,0.870560606060606,0.8379969696969697,0.8391787878787879,0.817,0.8487,0.8246,0.967,0.7314,0.5861,0.1021,0.5975338127002088,5,0.7
0.005,0.5858585858585859,0.9639521729293211,1.0014102893262795,0.0707070707070707,2.787878787878788,0.870560606060606,0.8379969696969697,0.8391787878787879,0.817,0.8487,0.8246,0.967,0.7314,0.5861,0.1021,0.5975338127002088,5,0.65
0.01,0.6161616161616161,0.9637711680038986,1.0012222507494424,0.04040404040404041,2.878787878787879,0.870560606060606,0.8379969696969697,0.8390212121212122,0.8193,0.8475,0.8187,0.9648,0.7435,0.5861,0.1032,0.5974585972694739,5,0.55
