year,A_income,A_expenditure,B_rev_L4,B_exp_L4,C_rev_int,C_exp_int
1854,3169.606029282518,6729.1685392697345,0.0646689619900978,0.007035512707214198,2.0335594980817877,2.0031680374127383
1855,4679.104773222421,6065.176891463656,0.007646625579899088,0.01121703045650314,1.3631103423448736,2.2026624740932848
1856,3039.2423305051457,1937.6288887579542,0.021212171392083076,0.001574911894259174,1.5926486269720472,1.7037358541908512
1857,7867.325970939972,8632.055018308598,0.11957966128550093,0.00033845760497668064,3.920783896757028,1.4012968377257233
1858,3039.450046360686,6509.24436910833,0.3372236389491328,0.005125818668507578,3.0147437478497063,1.8646312317193183
1859,31.62480361727401,8353.065007472122,0.0,0.021214568677051897,1.5691699604743083,1.6327429442251553
1860,2741.075161535538,3501.5084568605093,0.09261510915751422,0.06382111201191319,2.1175867730566917,1.8208296052476478
1861,4866.469575524949,5562.962740836908,0.17450976127820914,0.001284413036876881,2.8610868330573003,1.7586554663581668
1862,983.5657463298307,4746.744355019003,0.05391250405468439,0.10025658762982695,1.3933495947225925,2.568106557588869
1863,3154.4304848350675,5515.992823407866,0.040067638402119514,0.0021781746896101066,3.249940611165101,1.9921834727399421
1864,4084.5803186435724,2403.7588841993716,0.10900004361298951,0.13710685579409598,3.7597978377511105,2.2365869495353174
1865,691.5897575099531,3422.8691639522262,0.021832418606780965,0.020914866817078184,1.0665552150705602,2.655484787843469
1866,1748.2164623216463,4308.62819961282,0.13795313212925317,0.08040893248838507,2.488101551971482,2.5669762289866855
1867,1069.3364230414093,4087.4107713616027,0.06105868824283987,0.005695921733072023,1.7575130690060687,2.02220225014106
1868,1048.2746639926818,3535.8964886355643,0.15486936365257342,0.0808473614949663,2.1358640743836834,2.0002591654535817
1869,726.2580178484277,1546.0459806177228,0.17419412902935485,0.019178464426337166,2.5124211808306542,2.0543554507539246
1870,6879.443005181347,4937.774179620034,0.6142747127150989,0.057164355885005846,3.809181596674788,2.1957970957716317
1871,5490.928697335973,6064.963877600639,0.6132051331342832,0.026765101497497015,3.715302556618246,1.7105617225680796
1872,6708.070297219894,6547.2395396758875,0.5240664194093974,0.01599936519981369,3.79032325565219,1.8165591897250852
1873,5117.107654620167,3671.1336178133674,0.8383062216494105,0.0654404822622606,3.7793812158194164,1.7145132220661257
1874,4806.3257316222835,3801.468525606111,0.7647034993730486,0.09205140306664499,3.8157234316165325,1.7557163458930012
1875,4495.543808624401,3931.803433398855,0.6911007770966866,0.11866232387102937,3.852065647413649,1.7969194697198765
1876,4184.761885626518,4062.1383411915986,0.6174980548203247,0.14527324467541378,3.888407863210765,1.838122593546752
1877,2786.833845241944,4335.771634874447,0.9834342208778607,0.07027431777861322,3.973690012314536,2.3627050995946655
1878,3011.1787791747956,2443.1904400606977,0.40535375286512243,0.08396690456781292,3.18113326764696,2.115839511901353
1879,2193.092726843272,1543.7243359133688,0.69025478251189,0.03365562859345484,3.365624990758293,1.7903552219456802
1880,1897.4198190789473,2341.4587902046783,0.16338445813310506,0.10255932456387677,3.083026137052604,1.6982897698783832
1881,8107.636383399942,5723.520065497336,0.6579760782157239,0.026794533688842773,3.8846914470295557,1.392371349971794
1882,7801.045296575239,3166.585871927458,0.6699366990044981,0.007919195803743277,3.628052759922526,1.7589263524148786
1883,12080.005787037036,11486.02810033394,0.6188974689774855,0.047962812187879234,3.1552247806119054,1.5929363681529338
1884,15233.221863468636,13904.390567343175,0.44870965096547505,0.433869877013421,2.9144762074795527,2.980378951383914
1885,9841.824863707165,7670.976927570094,0.3304854408306624,0.037062982989995406,2.7801900271672726,1.4253466563311175
1886,8728.749901357323,9549.03774068813,0.6278383960867264,0.04630629881464491,3.0605083473857553,1.5399388580200821
1887,9606.411663089848,11364.503923060112,0.5841557856278403,0.12469284228976019,3.0617508209813793,1.7652327730994812
1888,10484.073424822373,13179.970105432094,0.5404731751689542,0.20307938576487547,3.062993294577003,1.9905266881788806
1889,11361.735186554897,14995.436287804076,0.4967905647100681,0.28146592923999075,3.064235768172627,2.2158206032582797
1890,19997.97895978467,34305.14473477819,0.5832481895791112,0.42465803573141137,3.223718773682724,2.552713731032446
1891,28634.222733014434,53614.853181752296,0.6697058144481542,0.567850142222832,3.383201779192821,2.8896068588066117
1892,16627.84827713968,17725.605676999712,0.6487400489561878,0.14763099668276103,3.377314896584168,1.7214880234672372
1893,25396.53540809854,19920.56963967835,0.5862423598682691,0.20637907286319127,3.2845903501270683,1.9864524887199522
1894,9087.358127898462,8300.0798348385,0.6460288509182699,0.022636399030669427,3.144733437131387,1.639022719820202
1895,8675.2906682843,9515.134971185927,0.3981896062456224,0.02221211039354316,2.947483134306509,1.7150414131396252
1896,8748.791360109357,5988.167390342943,0.7005513624082678,0.06851247052682242,3.3184360634893473,1.6510012311365627
1897,7742.445590263205,3326.0237424306015,0.518244296237501,0.13258809939056357,3.323065272543668,1.8788199844789428
1898,14121.483071053886,8801.236389286281,0.43492087445441574,0.02532855813696227,3.4522692450725176,1.4724697355632046
1899,2413.0390762361963,2787.258736837947,0.2301167151913955,0.14006570355787953,2.5515038208120813,2.00136601267845
1900,3935.7002553525836,6703.378511098017,0.23203105309520303,0.2823483820681046,2.043268892367811,2.1664516412817427
