treatment,tau,wald
masked (default),1857,2.823287089114106
masked (default),1858,3.474780980266388
masked (default),1859,3.538320419374622
masked (default),1860,2.988251355743474
masked (default),1861,2.988251355743474
masked (default),1862,2.988251355743474
masked (default),1863,2.977002049819332
masked (default),1864,2.977002049819332
masked (default),1865,2.977002049819332
masked (default),1866,2.9639382094637705
masked (default),1867,2.032692896153034
masked (default),1868,0.6336510605951146
masked (default),1869,0.3079764183696524
masked (default),1870,0.9752304425001701
masked (default),1871,0.0004529749621324486
masked (default),1872,0.0418078437157231
masked (default),1873,0.0409597268272292
masked (default),1874,0.02822969569731992
masked (default),1875,0.040082887745621576
masked (default),1876,0.049539829179609515
masked (default),1877,0.05349839455085277
masked (default),1878,0.05339132341659264
masked (default),1879,0.002617161175013591
masked (default),1880,0.000208384383252549
masked (default),1881,0.0017101002565927496
masked (default),1882,0.003386890999748983
masked (default),1883,0.0035260887328941682
masked (default),1884,0.7567020710834944
masked (default),1885,1.290669565783692
interpolated,1812,0.375660217996804
interpolated,1813,0.20160133428768612
interpolated,1814,0.17380138670721915
interpolated,1815,0.6482406916495723
interpolated,1816,0.929839264488404
interpolated,1817,2.154870869107248
interpolated,1818,7.789558171663081
interpolated,1819,8.689023683339117
interpolated,1820,7.303733329467506
interpolated,1821,5.402080349913679
interpolated,1822,5.913813041395858
interpolated,1823,6.078513654145496
interpolated,1824,6.343164945800029
interpolated,1825,6.904473227112345
interpolated,1826,6.949747748322743
interpolated,1827,7.393272737064125
interpolated,1828,7.904815723380629
interpolated,1829,7.751169192673969
interpolated,1830,6.116737466112864
interpolated,1831,4.301653341658336
interpolated,1832,4.377593765192158
interpolated,1833,4.4331476113083115
interpolated,1834,3.734413692863015
interpolated,1835,3.7904787406152702
interpolated,1836,2.50044792991617
interpolated,1837,2.2645457067796984
interpolated,1838,2.254163490054494
interpolated,1839,2.3071180226400196
interpolated,1840,2.3669325274634
interpolated,1841,2.269484654333725
interpolated,1842,1.6288937104973793
interpolated,1843,1.7367617508365305
interpolated,1844,1.676360985339651
interpolated,1845,1.4624106521936473
interpolated,1846,2.137523077742976
interpolated,1847,1.0643360804820527
interpolated,1848,1.0455434652036704
interpolated,1849,1.03992974261832
interpolated,1850,1.0434569623884251
interpolated,1851,0.9345142098168421
interpolated,1852,0.8365047711772062
interpolated,1853,1.2273720216726944
interpolated,1854,1.1627462246263962
interpolated,1855,1.0284021928687324
interpolated,1856,0.7014412893475607
interpolated,1857,2.156054474277596
interpolated,1858,2.8291039497755213
interpolated,1859,2.920135354112335
interpolated,1860,2.3430419287771986
interpolated,1861,3.8691903568029034
interpolated,1862,2.997890076779387
interpolated,1863,2.973304546564922
interpolated,1864,2.93514729956865
interpolated,1865,3.6954751688689282
interpolated,1866,3.669008790796195
interpolated,1867,2.7423983444468556
interpolated,1868,0.9208177509313308
interpolated,1869,0.45565673067133394
interpolated,1870,1.119228883166397
interpolated,1871,0.0027761993360642633
interpolated,1872,0.01752541232312306
interpolated,1873,0.016820515466523942
interpolated,1874,0.0093745366451675
interpolated,1875,0.016915444296460014
interpolated,1876,0.023537930502019824
interpolated,1877,0.02635703738703249
interpolated,1878,0.026225686534941166
interpolated,1879,0.0002452477168846601
interpolated,1880,0.006206979560056988
interpolated,1881,0.01077976764592591
interpolated,1882,0.014901499622670476
interpolated,1883,0.014955404938633591
interpolated,1884,0.8701501590474058
interpolated,1885,1.4382628522227732
