year,eff_income_sources,new_income_share,mean_horizon_yrs,multiyear_share,invest_spend_share,sec_income_share,rows_per_page,sections_per_page,subtotal_ratio,sig_per_page,person_share,latin_share,arrears_share,distinct_persons_per_page,persons_per_row,pages_per_year,rows_per_year,institutional_pay_share
1713,3.027369345575023,0.3888943129118867,0.6916499891017893,0.0,0.00027310278906223336,0.0,32.57142857142857,3.142857142857143,0.08994708994708994,0.0,0.17105263157894737,0.798941798941799,0.010582010582010581,5.285714285714286,0.16228070175438597,7.0,228.0,0.5902775407093845
1714,2.644649623817855,0.1559182193653329,,0.0,0.6836110596283128,0.0,29.25,1.875,0.07881773399014778,0.375,0.10256410256410256,0.8472906403940886,0.04926108374384237,2.75,0.09401709401709402,8.0,234.0,0.009772371147916514
1715,1.0,0.0,,0.0,0.3762659049597507,0.0,32.857142857142854,3.142857142857143,0.08900523560209424,0.0,0.09565217391304348,0.93717277486911,0.18848167539267016,3.142857142857143,0.09565217391304348,7.0,230.0,0.01843676967021557
1716,2.356797329580779,0.34595078815930574,1.2136060894386298,0.07120202981287661,0.0032196443653389408,0.0,31.625,2.625,0.08411214953271028,0.0,0.37549407114624506,0.5887850467289719,0.3037383177570093,10.75,0.33992094861660077,8.0,253.0,0.5347897311483587
1717,1.436581058729386,0.12916824030732732,0.7396374488780811,0.0,0.022200383025904647,0.0,34.42857142857143,2.7142857142857144,0.08823529411764706,0.0,0.3817427385892116,0.6372549019607843,0.3088235294117647,12.285714285714286,0.35684647302904565,7.0,241.0,0.1650539260155226
1718,1.6982011327085513,0.019022998317196314,0.8604320636725412,0.25884272190226665,0.053255183084682536,0.04682584201156013,32.42857142857143,3.5714285714285716,0.05759162303664921,0.0,0.3656387665198238,0.5340314136125655,0.3298429319371728,11.142857142857142,0.3436123348017621,7.0,227.0,0.4269350482675073
1719,1.503096673813109,0.18408509229508965,0.6079136690647482,0.0,0.023364254179274763,0.12223953005691778,31.833333333333332,1.6666666666666667,0.040229885057471264,0.0,0.33507853403141363,0.5114942528735632,0.21264367816091953,9.666666666666666,0.3036649214659686,6.0,191.0,0.39081799692445063
1720,1.8562912982370594,0.29528190863378634,1.3393656353376142,0.11519750924304341,0.0029088595225379796,0.0,30.857142857142858,2.2857142857142856,0.03626943005181347,1.2857142857142858,0.4166666666666667,0.5233160621761658,0.33678756476683935,11.857142857142858,0.38425925925925924,7.0,216.0,0.4995738975308782
1721,,,,0.0,0.0,0.0,,,,,,,,,,,,
1722,,,,0.0,0.0,0.0,,,,,,,,,,,,
1723,2.384887370769967,0.6063788339505869,0.7140166378904411,0.0726730497567101,0.006769710040738079,0.0,32.142857142857146,3.142857142857143,0.06315789473684211,0.0,0.3511111111111111,0.49473684210526314,0.3526315789473684,10.142857142857142,0.31555555555555553,7.0,225.0,0.3946101925073887
1724,1.0591312108226267,0.02724472214003513,2.6457399103139014,1.0,0.03161202645371267,0.0,28.285714285714285,2.142857142857143,0.05172413793103448,0.0,0.3282828282828283,0.5402298850574713,0.22413793103448276,9.0,0.3181818181818182,7.0,198.0,0.5722177278321999
1725,1.6370592939658701,0.15841457567524375,1.0190650426074817,0.019065042607481587,0.0025091016432155855,0.0,28.166666666666668,2.5,0.06944444444444445,0.0,0.38461538461538464,0.3263888888888889,0.16666666666666666,9.833333333333334,0.34911242603550297,6.0,169.0,0.47810685821115817
1726,2.0174758734652984,0.23608299461893598,0.5030502988047809,0.0,0.0633838268271475,0.0,35.833333333333336,1.8333333333333333,0.05154639175257732,1.0,0.34418604651162793,0.5876288659793815,0.36082474226804123,11.166666666666666,0.3116279069767442,6.0,215.0,0.6216191478650863
1727,1.6990673261000602,0.07153545821644648,4.0,1.0,0.10610828982190114,0.0,34.166666666666664,2.8333333333333335,0.056179775280898875,0.0,0.2634146341463415,0.5449438202247191,0.19101123595505617,8.5,0.24878048780487805,6.0,205.0,0.6061082898219011
1728,1.3996833146605632,0.0005200132892285506,2.878535773710482,1.0,0.0378516166539958,0.0,35.0,3.1666666666666665,0.04945054945054945,0.0,0.3761904761904762,0.5494505494505495,0.1978021978021978,12.666666666666666,0.3619047619047619,6.0,210.0,0.5258351594293635
