year,metric,delta,abs_delta_robust_z,is_change_point
1825,amount_sum,15298.497916666667,1.7691840289874816,False
1815,amount_sum_real,-9267.7049,1.7526350549029572,False
1824,amount_sum,-15162.487500000003,1.746243516439607,False
1766,entry_ratio,0.030999999999999917,1.7431883116883253,False
1833,amount_median,3.642708333333333,1.7318844884488438,False
1807,n_data_rows,-57.0,1.7276666666666667,False
1791,entry_ratio,-0.03080000000000005,1.7256688311688562,False
1840,amount_sum_real,-9164.352300000002,1.7236413995512612,False
1751,entry_ratio,0.03059999999999996,1.708149350649368,False
1810,amount_sum,-14916.315624999996,1.7047223658852935,False
1898,entry_ratio,0.03049999999999997,1.6993896103896284,False
1771,data_rows_per_page,-5.582999999999998,1.6981529411764706,False
1811,data_rows_per_page,5.5710000000000015,1.692551557093427,False
1767,data_rows_per_page,5.550000000000001,1.6827491349480983,False
1802,amount_sum_real,-9009.4136,1.6801762204610395,False
1817,entry_ratio,0.030200000000000005,1.6731103896104103,False
1730,entry_ratio,0.02980000000000005,1.6380714285714528,False
1749,entry_ratio,-0.02980000000000005,1.6380714285714528,False
1779,amount_sum_real,8848.4335,1.6350162386329894,False
1852,n_data_rows,55.0,1.633,False
1900,amount_sum,14314.491666666669,1.6032143313823668,False
1855,n_data_rows,54.0,1.5856666666666666,False
1817,amount_sum_real,8651.371000000001,1.57973400859965,False
1865,amount_sum,-14100.14166666667,1.5670604912196073,False
1877,amount_sum,-13986.228125000001,1.547846999370806,False
1750,data_rows_per_page,-5.25,1.5427145328719734,False
1741,amount_sum_real,-8497.5241,1.5365751137530086,False
1825,entry_ratio,-0.02859999999999996,1.532954545454561,False
1897,entry_ratio,-0.02849999999999997,1.5241948051948215,False
1802,entry_ratio,0.02839999999999998,1.5154350649350823,False
1841,amount_median,-3.3312500000000007,1.510019251925192,False
1841,amount_sum,13728.504166666666,1.5043773898737351,False
1769,amount_median,-3.3000000000000007,1.4877585258525847,False
1801,amount_sum,-13576.17604166667,1.4786846131835427,False
1803,amount_sum_real,8251.0295,1.4674256247372084,False
1825,amount_sum_real,8244.000100000001,1.4654536569209253,False
1731,data_rows_per_page,-5.079000000000001,1.4628948096885825,False
1841,amount_sum_real,8215.7748,1.4575355724179877,False
1855,amount_sum,13439.954166666663,1.4557084345251725,False
1882,amount_sum_real,-8190.967100000002,1.4505762322188227,False
1756,n_data_rows,-51.0,1.4436666666666667,False
1736,entry_ratio,-0.02739999999999998,1.4278376623376787,False
1754,data_rows_per_page,-5.0,1.4260190311418695,False
1860,data_rows_per_page,5.0,1.4260190311418695,False
1853,amount_median,3.1937499999999996,1.4120720572057195,False
1785,entry_ratio,-0.027100000000000013,1.4015584415584605,False
1726,n_data_rows,50.0,1.3963333333333332,False
1800,amount_sum_real,7985.7402,1.3930036311667233,False
1813,amount_sum,-13049.732291666667,1.3898907564437069,False
1865,amount_sum_real,-7929.899099999999,1.3773384460832356,False
1866,amount_sum,12948.958333333336,1.3728934829090587,False
1718,entry_ratio,0.026599999999999957,1.3577597402597539,False
1851,data_rows_per_page,4.831000000000003,1.3471328719723206,False
1831,entry_ratio,0.02640000000000009,1.340240259740285,False
1811,entry_ratio,0.02639999999999998,1.3402402597402752,False
1855,amount_sum_real,7778.5459999999985,1.3348791405813814,False
1844,entry_ratio,-0.02629999999999999,1.3314805194805357,False
1900,amount_sum_real,7742.544500000004,1.324779587370877,False
1792,entry_ratio,-0.0262,1.3227207792207964,False
1859,amount_median,-3.0583333333333336,1.3156089108910884,False
1803,n_data_rows,48.0,1.3016666666666665,False
1816,amount_median,2.984895833333333,1.263296204620461,False
1803,amount_median,-2.984375000000001,1.262925192519252,False
1845,amount_median,-2.979166666666665,1.2592150715071488,False
1856,amount_sum,-12237.088541666664,1.2528243125586325,False
1814,amount_sum,12231.462500000001,1.2518753831853384,False
1856,amount_sum_real,-7480.677100000001,1.251317544389423,False
1779,amount_sum,12201.60625,1.246839609495768,False
1844,amount_sum,-12164.023958333335,1.2405007050597203,False
1857,amount_median,2.935416666666667,1.2280500550054998,False
1840,entry_ratio,0.0250999999999999,1.2263636363636439,False
