term,pre,ind,post,delta_post_vs_pre,delta_ind_vs_pre,change
prize,2.298797728787844e-05,0.00011272305073664513,0.0021036349574632637,0.002080646980175385,8.97350734487667e-05,post_vs_pre
late,6.896393186363533e-05,0.000856695185598503,0.0020726991492652745,0.002003735217401639,0.0007877312537348677,post_vs_pre
money,0.0011264108871060436,0.00474564043601276,0.0031245166279969066,0.001998105740890863,0.003619229548906717,post_vs_pre
thatching,0.0,2.2544610147329026e-05,0.0019489559164733179,0.0019489559164733179,2.2544610147329026e-05,post_vs_pre
12,0.000988483023378773,0.0012624981682504254,0.0029079659706109824,0.0019194829472322095,0.0002740151448716525,post_vs_pre
general,0.0,0.00015781227103130318,0.0019180201082753287,0.0019180201082753287,0.00015781227103130318,post_vs_pre
dno,0.0006896393186363532,0.0030886115901840767,0.0025986078886310903,0.0019089685699947372,0.0023989722715477236,post_vs_pre
bills,0.0004137835911818119,0.0007214275247145288,0.002320185614849188,0.001906402023667376,0.0003076439335327169,post_vs_pre
fellows,0.0002988437047424197,0.0001803568811786322,0.002196442382057231,0.0018975986773148113,-0.00011848682356378751,post_vs_pre
new,0.0015401944782878554,0.001206136642882103,0.00337200309358082,0.0018318086152929645,-0.0003340578354057524,post_vs_pre
cent,0.00013792786372727065,0.0005748875587568902,0.0019489559164733179,0.0018110280527460472,0.0004369596950296196,post_vs_pre
13,0.000942507068803016,0.0013977658291343996,0.002753286929621036,0.0018107798608180202,0.0004552587603313836,post_vs_pre
11,0.0011034229098181652,0.0015893950153866964,0.0029079659706109824,0.0018045430607928172,0.0004859721055685312,post_vs_pre
varia,6.896393186363533e-05,0.002367184065469548,0.0018561484918793504,0.001787184560015715,0.0022982201336059125,post_vs_pre
ii,4.597595457575688e-05,0.0,0.0018252126836813612,0.0017792367291056042,-4.597595457575688e-05,post_vs_pre
1st,0.0002988437047424197,0.0005748875587568902,0.0020726991492652745,0.0017738554445228547,0.0002760438540144705,post_vs_pre
dno rectori,2.298797728787844e-05,0.0016570288458286834,0.001794276875483372,0.0017712888981954937,0.001634040868540805,post_vs_pre
little tew,0.0002758557274545413,0.0013301319986924126,0.0020417633410672853,0.001765907613612744,0.0010542762712378714,post_vs_pre
vicario,0.0,0.00023671840654695478,0.0017633410672853829,0.0017633410672853829,0.00023671840654695478,post_vs_pre
