term,pre,ind,post,delta_post_vs_pre,delta_ind_vs_pre,change
room,0.0002758557274545413,0.0007552444399355224,0.004021655065738592,0.003745799338284051,0.00047938871248098114,post_vs_pre
st,0.002298797728787844,0.004407471283802825,0.0060324825986078886,0.0037336848698200447,0.0021086735550149807,post_vs_pre
exhibition,4.597595457575688e-05,7.890613551565159e-05,0.00374323279195669,0.003697256837380933,3.293018093989471e-05,post_vs_pre
farm,2.298797728787844e-05,0.00037198606743092894,0.0036504253673627224,0.003627437390074844,0.0003489980901430505,post_vs_pre
receipts,4.597595457575688e-05,0.00037198606743092894,0.0036504253673627224,0.0036044494127869657,0.00032601011285517204,post_vs_pre
poor,0.00018390381830302752,0.002231916404585574,0.0036504253673627224,0.003466521549059695,0.0020480125862825465,post_vs_pre
chapel,0.00039079561389393345,0.0007890613551565159,0.003774168600154679,0.0033833729862607458,0.0003982657412625825,post_vs_pre
dividends,0.0,0.00020290149132596124,0.0033410672853828307,0.0033410672853828307,0.00020290149132596124,post_vs_pre
bursar,0.0004597595457575688,0.001251225863176761,0.003774168600154679,0.00331440905439711,0.0007914663174191923,post_vs_pre
brought,0.0004137835911818119,0.0005410706435358966,0.003402938901778809,0.002989155310596997,0.00012728705235408468,post_vs_pre
comm,4.597595457575688e-05,0.0010708689819981289,0.00300077339520495,0.002954797440629193,0.001024893027422372,post_vs_pre
richards,0.00013792786372727065,0.0012963150834714192,0.003031709203402939,0.0028937813396756685,0.0011583872197441485,post_vs_pre
long,0.0012643387508333142,0.002153010269069922,0.00411446249033256,0.002850123739499246,0.0008886715182366079,post_vs_pre
charges,0.00016091584101514907,0.0001690845761049677,0.00300077339520495,0.0028398575541898007,8.168735089818626e-06,post_vs_pre
rates,0.0,0.0018148411168599867,0.0028151585460170145,0.0028151585460170145,0.0018148411168599867,post_vs_pre
yarnton,0.0003448196593181766,0.0015443057950920384,0.0030626450116009282,0.0027178253522827517,0.0011994861357738618,post_vs_pre
cottages,0.0,3.381691522099354e-05,0.002691415313225058,0.002691415313225058,3.381691522099354e-05,post_vs_pre
eidem,0.0,0.0005185260333885676,0.0026604795050270687,0.0026604795050270687,0.0005185260333885676,post_vs_pre
stamps,4.597595457575688e-05,0.0006199767790515483,0.0026295436968290795,0.0025835677422533228,0.0005740008244757914,post_vs_pre
14,0.0010114710006666513,0.001115958202292787,0.003588553750966744,0.0025770827503000925,0.0001044872016261356,post_vs_pre
jones,2.298797728787844e-05,0.0005861598638305547,0.002536736272235112,0.0025137482949472334,0.0005631718865426762,post_vs_pre
tax,0.0018390381830302753,0.0063012185361784635,0.004331013147718484,0.0024919749646882088,0.004462180353148188,post_vs_pre
tew,0.0002758557274545413,0.0017810242016389932,0.002753286929621036,0.002477431202166495,0.001505168474184452,post_vs_pre
insurance,0.0,0.0006763383044198708,0.0024748646558391337,0.0024748646558391337,0.0006763383044198708,post_vs_pre
allowance,0.0002298797728787844,0.0002818076268416128,0.002691415313225058,0.0024615355403462733,5.192785396282841e-05,post_vs_pre
total payments,0.0,2.2544610147329026e-05,0.0024439288476411445,0.0024439288476411445,2.2544610147329026e-05,post_vs_pre
taxes,0.00013792786372727065,0.000834150575451174,0.002567672080433101,0.0024297442167058305,0.0006962227117239034,post_vs_pre
furniture,0.0,6.763383044198708e-05,0.0024129930394431553,0.0024129930394431553,6.763383044198708e-05,post_vs_pre
payment,6.896393186363533e-05,0.0011948643378084385,0.0024748646558391337,0.0024059007239754984,0.0011259004059448032,post_vs_pre
day,0.0022068458196363304,0.004452560504097483,0.004609435421500387,0.0024025896018640565,0.0022457146844611525,post_vs_pre
rectory yr,0.0,0.000811605965303845,0.002320185614849188,0.002320185614849188,0.000811605965303845,post_vs_pre
rectori,0.00016091584101514907,0.0028293485734897927,0.0024748646558391337,0.0023139488148239845,0.0026684327324746435,post_vs_pre
acct,0.002298797728787844,0.002231916404585574,0.004516627996906419,0.002217830268118575,-6.688132420227004e-05,post_vs_pre
church,4.597595457575688e-05,0.00029307993191527733,0.0022583139984532095,0.0022123380438774528,0.00024710397733952044,post_vs_pre
trust,2.298797728787844e-05,0.00015781227103130318,0.0022273781902552203,0.0022043902129673418,0.00013482429374342473,post_vs_pre
dr,0.0013562906599848279,0.002389728675616877,0.003557617942768755,0.002201327282783927,0.001033438015632049,post_vs_pre
osborne,2.298797728787844e-05,9.01784405893161e-05,0.002165506573859242,0.0021425185965713634,6.719046330143767e-05,post_vs_pre
int,0.0,0.00029307993191527733,0.002134570765661253,0.002134570765661253,0.00029307993191527733,post_vs_pre
little,0.0014252545918484632,0.0027278978278268123,0.003557617942768755,0.002132363350920292,0.001302643235978349,post_vs_pre
draining,0.0,6.763383044198708e-05,0.0021036349574632637,0.0021036349574632637,6.763383044198708e-05,post_vs_pre
houses,0.0001149398864393922,1.1272305073664513e-05,0.002196442382057231,0.002081502495617839,-0.00010366758136572769,post_vs_pre
