year,rank,term,tfidf
1779,3,jua shiers,0.16009441020372903
1779,4,jua,0.16009441020372903
1779,5,1780,0.156252595111992
1779,6,anno,0.15222494375297382
1779,7,mic,0.15084174320138868
1779,8,dim,0.14871214746335934
1779,9,pro anno,0.14777131106376126
1779,10,mr,0.13443284181226642
1779,11,pro dim,0.11575015858788029
1779,12,pro trien,0.11231086041967832
1779,13,trien,0.10579648563875148
1779,14,rect,0.10033469587583718
1779,15,et,0.08935866918250145
1780,1,pro,0.5099068851975779
1780,2,decma,0.32333258492842176
1780,3,pro decma,0.32333258492842176
1780,4,1780,0.1803277218559187
1780,5,mr,0.13693322555886375
1780,6,1779,0.13071569341489406
1780,7,mic,0.1305623815053408
1780,8,jua,0.12933303397136872
1780,9,jua shiers,0.12933303397136872
1780,10,shiers,0.10786186768401584
1780,11,pro bien,0.10664916524593292
1780,12,bien,0.10492316031533885
1780,13,dim,0.1016550773186998
1780,14,ad,0.0973891660549183
1780,15,pro et,0.09290231615808918
1781,1,pro,0.559286520190528
1781,2,decma,0.3087850992383048
1781,3,pro decma,0.3087850992383048
1781,4,mr,0.153319225965549
1781,5,pro bien,0.1296282540384379
1781,6,bien,0.12753035664656703
1781,7,dimid,0.11203513752120363
1781,8,rect,0.10555768817448306
1781,9,1781,0.10332861471606533
1781,10,rect pro,0.09832806905605072
1781,11,dim,0.09708137874467919
1781,12,ad,0.09300740075937908
1781,13,pro dimid,0.08748693943902527
1781,14,shiers,0.08240712893001101
1781,15,curtis,0.08010202775176549
1782,1,pro,0.5416898501503686
1782,2,pro ann,0.40186926338102513
1782,3,ann,0.30635608578832135
1782,4,dimid,0.2695172537087312
1782,5,pro dimid,0.19502353426752597
1782,6,dimid ann,0.18231758328489636
1782,7,pro bien,0.18060238766499218
1782,8,bien,0.1776795273606662
1782,9,mr,0.1372126497229921
1782,10,ann dimid,0.11582953561950088
1782,11,rect,0.10980963546657083
1782,12,rect pro,0.10228880156345475
1782,13,coti,0.08030580190620304
1782,14,ann jesus,0.05791476780975044
1782,15,coll pro,0.05419852070520313
1783,1,pro,0.5579756191142193
1783,2,pro ann,0.4393479415614838
