era,term,relative_freq
post_1840,17 10,3.093580819798917e-05
pre_1760,17 13,6.896393186363533e-05
industrial_1760_1840,17 13,2.2544610147329026e-05
post_1840,17 13,3.093580819798917e-05
pre_1760,17 mr,9.195190915151376e-05
industrial_1760_1840,17 mr,0.00022544610147329027
post_1840,17 mr,3.093580819798917e-05
pre_1760,17 pd,0.00013792786372727065
industrial_1760_1840,17 pd,1.1272305073664513e-05
post_1840,17 pd,0.0
pre_1760,170,0.0
industrial_1760_1840,170,3.381691522099354e-05
post_1840,170,3.093580819798917e-05
pre_1760,1702,0.0001149398864393922
industrial_1760_1840,1702,2.2544610147329026e-05
post_1840,1702,0.0
pre_1760,1708,9.195190915151376e-05
industrial_1760_1840,1708,1.1272305073664513e-05
post_1840,1708,0.0
pre_1760,171,0.0
industrial_1760_1840,171,2.2544610147329026e-05
post_1840,171,6.187161639597834e-05
pre_1760,1714,0.00020689179559090596
industrial_1760_1840,1714,9.01784405893161e-05
post_1840,1714,0.0
pre_1760,1715,0.0002298797728787844
industrial_1760_1840,1715,1.1272305073664513e-05
post_1840,1715,6.187161639597834e-05
pre_1760,172,0.0
industrial_1760_1840,172,4.508922029465805e-05
post_1840,172,3.093580819798917e-05
pre_1760,1730,0.0005287234776212041
industrial_1760_1840,1730,4.508922029465805e-05
post_1840,1730,0.0
pre_1760,1734,0.0005976874094848394
industrial_1760_1840,1734,3.381691522099354e-05
post_1840,1734,0.0
pre_1760,1734 mason,0.00016091584101514907
industrial_1760_1840,1734 mason,3.381691522099354e-05
post_1840,1734 mason,0.0
pre_1760,1736,0.0008045792050757454
industrial_1760_1840,1736,2.2544610147329026e-05
post_1840,1736,0.0
pre_1760,1736 greenway,0.0001149398864393922
industrial_1760_1840,1736 greenway,1.1272305073664513e-05
post_1840,1736 greenway,0.0
pre_1760,1742,0.0010574469552424083
industrial_1760_1840,1742,5.636152536832257e-05
post_1840,1742,0.0
pre_1760,1742 newman,0.0002298797728787844
industrial_1760_1840,1742 newman,3.381691522099354e-05
post_1840,1742 newman,0.0
pre_1760,1743,0.0005057355003333257
industrial_1760_1840,1743,2.2544610147329026e-05
post_1840,1743,0.0
pre_1760,1744,0.0003448196593181766
industrial_1760_1840,1744,0.0
post_1840,1744,6.187161639597834e-05
pre_1760,1745,0.0005287234776212041
industrial_1760_1840,1745,0.0
post_1840,1745,6.187161639597834e-05
pre_1760,1746,0.00016091584101514907
industrial_1760_1840,1746,0.0
post_1840,1746,3.093580819798917e-05
pre_1760,175,0.0
industrial_1760_1840,175,3.381691522099354e-05
post_1840,175,3.093580819798917e-05
pre_1760,1750,0.0002988437047424197
industrial_1760_1840,1750,1.1272305073664513e-05
post_1840,1750,0.0
pre_1760,1750 pd,6.896393186363533e-05
industrial_1760_1840,1750 pd,1.1272305073664513e-05
post_1840,1750 pd,0.0
pre_1760,1752,0.00043677156846969034
industrial_1760_1840,1752,2.2544610147329026e-05
post_1840,1752,0.0
pre_1760,1753,0.00032183168203029814
industrial_1760_1840,1753,2.2544610147329026e-05
post_1840,1753,0.0
pre_1760,1755,0.00032183168203029814
industrial_1760_1840,1755,1.1272305073664513e-05
post_1840,1755,0.0
pre_1760,1756,0.0002758557274545413
industrial_1760_1840,1756,2.2544610147329026e-05
post_1840,1756,0.0
pre_1760,1757,0.0003448196593181766
industrial_1760_1840,1757,4.508922029465805e-05
post_1840,1757,0.0
pre_1760,1758,0.00025286775016666283
industrial_1760_1840,1758,7.890613551565159e-05
post_1840,1758,0.0
pre_1760,1759,0.00018390381830302752
industrial_1760_1840,1759,0.00014653996595763867
post_1840,1759,0.0
pre_1760,1759 mag,4.597595457575688e-05
industrial_1760_1840,1759 mag,2.2544610147329026e-05
post_1840,1759 mag,0.0
pre_1760,1759 recvd,4.597595457575688e-05
industrial_1760_1840,1759 recvd,2.2544610147329026e-05
post_1840,1759 recvd,0.0
pre_1760,176,0.0
industrial_1760_1840,176,2.2544610147329026e-05
post_1840,176,9.280742459396752e-05
pre_1760,1760,2.298797728787844e-05
industrial_1760_1840,1760,0.0001690845761049677
post_1840,1760,0.0
pre_1760,1772,2.298797728787844e-05
industrial_1760_1840,1772,0.0002705353217679483
post_1840,1772,0.0
pre_1760,1778,2.298797728787844e-05
industrial_1760_1840,1778,0.00011272305073664513
post_1840,1778,0.0
pre_1760,1790,2.298797728787844e-05
industrial_1760_1840,1790,0.0006537936942725418
post_1840,1790,0.0
pre_1760,1795,0.0
industrial_1760_1840,1795,0.0005636152536832256
post_1840,1795,3.093580819798917e-05
pre_1760,17s,6.896393186363533e-05
industrial_1760_1840,17s,0.0
post_1840,17s,3.093580819798917e-05
pre_1760,17th,0.0001149398864393922
industrial_1760_1840,17th,0.0
post_1840,17th,3.093580819798917e-05
pre_1760,18,0.0010344589779545297
industrial_1760_1840,18,0.0006763383044198708
post_1840,18,0.0016705336426914154
pre_1760,18 10,6.896393186363533e-05
industrial_1760_1840,18 10,0.0
post_1840,18 10,6.187161639597834e-05
pre_1760,18 11,0.0
industrial_1760_1840,18 11,5.636152536832257e-05
post_1840,18 11,9.280742459396752e-05
pre_1760,18 mr,2.298797728787844e-05
industrial_1760_1840,18 mr,0.00011272305073664513
post_1840,18 mr,3.093580819798917e-05
pre_1760,18 pd,0.0001149398864393922
industrial_1760_1840,18 pd,1.1272305073664513e-05
post_1840,18 pd,0.0
pre_1760,1801,0.0
industrial_1760_1840,1801,0.00010145074566298062
post_1840,1801,3.093580819798917e-05
pre_1760,181,0.0
industrial_1760_1840,181,1.1272305073664513e-05
post_1840,181,0.00018561484918793505
pre_1760,1812,0.0
industrial_1760_1840,1812,0.00010145074566298062
post_1840,1812,3.093580819798917e-05
pre_1760,1816,0.0
industrial_1760_1840,1816,0.00010145074566298062
post_1840,1816,3.093580819798917e-05
pre_1760,1818,0.0
industrial_1760_1840,1818,0.0001803568811786322
post_1840,1818,3.093580819798917e-05
pre_1760,1828,0.0
industrial_1760_1840,1828,0.00014653996595763867
post_1840,1828,6.187161639597834e-05
pre_1760,1829,0.0
industrial_1760_1840,1829,0.000439619897872916
post_1840,1829,0.00027842227378190254
pre_1760,183,2.298797728787844e-05
industrial_1760_1840,183,0.0
post_1840,183,9.280742459396752e-05
pre_1760,1830,0.0
industrial_1760_1840,1830,0.0005297983384622321
post_1840,1830,3.093580819798917e-05
pre_1760,1831,0.0
industrial_1760_1840,1831,0.0005185260333885676
post_1840,1831,3.093580819798917e-05
pre_1760,1838,0.0
industrial_1760_1840,1838,0.0003494414572835999
post_1840,1838,6.187161639597834e-05
pre_1760,1839,0.0
industrial_1760_1840,1839,0.00038325837250459345
post_1840,1839,6.187161639597834e-05
pre_1760,184,4.597595457575688e-05
industrial_1760_1840,184,1.1272305073664513e-05
post_1840,184,3.093580819798917e-05
pre_1760,1840,0.0
industrial_1760_1840,1840,0.00012399535581030966
post_1840,1840,0.0004949729311678268
pre_1760,1841,0.0
