year,n_educational,n_scholarship,n_prize,scholar_income,scholar_expenditure,scholarship_intensity,prize_intensity,scholar_income_share,era
1724,1.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.012820512820512822,0.0,0.0,pre_industrial
1725,3.114285714285714,0.014285714285714285,1.0,0.0,0.014285714285714285,0.0045871559633027525,0.3211009174311927,0.0,pre_industrial
1726,2.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.006756756756756758,0.0,0.0,pre_industrial
1727,4.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0034722222222222225,0.0,0.0,pre_industrial
1728,1.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.012820512820512822,0.0,0.0,pre_industrial
1729,3.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0045871559633027525,0.0,0.0,pre_industrial
1730,4.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0034722222222222225,0.0,0.0,pre_industrial
1731,5.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.002793296089385475,0.0,0.0,pre_industrial
1732,3.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0045871559633027525,0.0,0.0,pre_industrial
1733,15.114285714285714,3.0142857142857142,0.0,0.0,3.0142857142857142,0.1994328922495274,0.0,0.0,pre_industrial
1734,9.114285714285714,1.0142857142857142,0.0,1.0,0.014285714285714285,0.11128526645768025,0.0,0.9859154929577465,pre_industrial
1735,7.114285714285714,1.0142857142857142,0.0,0.0,1.0142857142857142,0.142570281124498,0.0,0.0,pre_industrial
1736,7.114285714285714,1.0142857142857142,0.0,0.0,1.0142857142857142,0.142570281124498,0.0,0.0,pre_industrial
1737,16.114285714285714,1.0142857142857142,0.0,0.0,1.0142857142857142,0.06294326241134751,0.0,0.0,pre_industrial
1738,7.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0020080321285140565,0.0,0.0,pre_industrial
1739,14.114285714285714,2.0142857142857142,0.0,2.0,0.014285714285714285,0.14271255060728744,0.0,0.9929078014184397,pre_industrial
1740,6.114285714285714,0.014285714285714285,0.0,0.0,0.014285714285714285,0.0023364485981308414,0.0,0.0,pre_industrial
