year,place_cluster,category,n_entries,amount_real,era
1786,oxford_local,ecclesiastical,3.5,29.999839113544887,transition
1786,oxford_local,financial,1.0,127.20121922680896,transition
1786,oxford_local,land_rent,4.0,238.11341617523166,transition
1786,oxford_local,salary_stipend,0.5,7.137508190583171,transition
1786,oxfordshire,ecclesiastical,4.5,22.791028971262758,transition
1786,oxfordshire,land_rent,1.5,26.98321808012731,transition
1786,oxfordshire,maintenance,0.5,0.18282551717682302,transition
1787,london,administrative,1.0,0.285288432427397,transition
1787,other,administrative,11.5,14.178543980996297,transition
1787,other,domestic,1.0,0.9330096182957219,transition
1787,other,ecclesiastical,8.0,111.71807680663267,transition
1787,other,educational,2.0,1.3798644588835325,transition
1787,other,financial,1.0,86.27100363306084,transition
1787,other,land_rent,45.5,578.936107035562,transition
1787,other,maintenance,3.0,5.92846829222851,transition
1787,other,other,0.5,1.7466638720044714,transition
1787,other,salary_stipend,1.0,6.913877826684365,transition
1787,oxford_local,administrative,5.0,8.486966976408393,transition
1787,oxford_local,ecclesiastical,2.5,35.84736486643844,transition
1787,oxford_local,financial,1.0,125.88934302149562,transition
1787,oxford_local,land_rent,4.5,163.5663382938587,transition
1787,oxfordshire,ecclesiastical,3.0,21.995228696522975,transition
1787,oxfordshire,educational,0.5,0.733598826241878,transition
1787,oxfordshire,land_rent,2.0,66.38377989706328,transition
1788,london,administrative,0.5,0.04925137903861308,transition
1788,other,administrative,8.0,14.04823158577852,transition
1788,other,domestic,0.5,0.12602558753998053,transition
1788,other,ecclesiastical,6.5,52.18147394891763,transition
1788,other,educational,1.0,1.1211931581143095,transition
1788,other,land_rent,42.0,625.713782853567,transition
1788,other,maintenance,4.5,3.8749246743614707,transition
1788,other,other,0.5,1.738283966068697,transition
1788,other,salary_stipend,0.5,0.04345709915171743,transition
1788,oxford_local,administrative,3.5,26.920224354517224,transition
1788,oxford_local,ecclesiastical,2.5,80.81861586242063,transition
1788,oxford_local,financial,0.5,62.64195985722895,transition
1788,oxford_local,land_rent,3.0,101.46942937931675,transition
1788,oxfordshire,ecclesiastical,3.5,110.29013407963659,transition
