year,income,expenditure,trad_income,new_income,committed_exp,discretionary_exp,hi_spend,hi_share,arrears,balance_items,n_balance_rows,n_inc_rows,income_incomplete,observed
1747,863.4971923709942,588.9011924355374,557.0884564494787,306.4087359215155,459.49611934036847,129.40507309516892,125.22590118436761,0.2126433140107373,553.414536741214,,,76.0,False,True
1748,988.0272584168594,805.3039064507838,677.5712381135954,310.4560203032639,472.64621080699044,332.6576956437933,276.7353749036237,0.3436409195173033,357.6060941917245,,,73.0,False,True
1749,1500.9314336883176,1615.2529262208577,309.71069589689466,1191.2207377914228,433.1316559531804,1182.1212702676773,201.5814384854009,0.12479868335978371,723.2122869295468,,,65.0,False,True
1750,1227.3201209805795,1656.1067335243554,890.4628303088189,336.85729067176067,586.2981534543139,1069.8085800700414,163.21235275390003,0.09855183210720263,417.8436405603311,883.1452960840496,1.0,64.0,False,True
1751,902.5795526149968,525.3485349716445,723.0102000630119,179.56935255198493,306.13382167611843,219.2147132955261,193.68501890359167,0.36867908828192647,418.15926275992433,,,51.0,False,True
1752,1353.839257873402,645.6374727159339,907.1523230433427,446.6869348300593,579.4073511069536,66.23012160898031,64.6398503274088,0.10011787273668499,279.8614359214219,,,81.0,False,True
1753,1333.9486882716049,573.3989197530864,965.7407407407406,368.2079475308642,460.79089506172835,112.60802469135803,18.950617283950617,0.03304962153069807,89.15123456790123,1119.8649691358023,2.0,80.0,False,True
1754,538.0184463794683,614.1928276810264,344.78498319584475,193.23346318362354,369.0259318667888,245.1668958142376,127.94741063244727,0.20831798234364143,965.4617323556369,,,59.0,False,True
1755,1168.598759830611,639.9737220205686,850.7297338173018,317.86902601330917,471.39859346642464,168.575128554144,51.52658045977011,0.08051358780339743,59.89677858439202,,,78.0,False,True
1756,1085.6263102725368,478.3056304282719,304.4025157232704,781.2237945492664,291.81266846361183,186.49296196466008,50.636418089248274,0.10586623879779282,539.6048592392932,,,40.0,False,True
1757,1880.8644721233686,585.943987247924,921.742474792408,959.1219973309607,426.7598976868327,159.18408956109135,64.18853795966784,0.10954722525808333,247.9370551601423,,,65.0,False,True
1758,1719.687041116006,1213.946402349486,716.4188693098384,1003.2681718061675,327.30359765051395,886.6428046989722,123.60499265785609,0.10182079902261709,726.6859397944199,,,37.0,False,True
1759,,,,,,,,,,,,,False,False
1760,,,,,,,,,,,,,False,False
1761,1581.1753592754492,543.8228550612839,442.83824033599035,1138.3371189394588,334.74757864061024,209.07527642067367,77.78706322676494,0.1430375029346625,205.89411731093395,,,52.0,False,True
1762,1686.2302363141787,505.26146152102456,536.0678411538025,1150.162395160376,298.692869488836,206.56859203218858,144.94963447806867,0.28688044807873625,391.6229244588008,,,59.0,False,True
1763,1141.0083466824046,570.5472065312088,352.72285923053147,788.2854874518732,434.0828134221398,136.46439310906896,135.07327937498243,0.2367433892038414,557.8857881572661,,,47.0,False,True
1764,1306.3796203378492,971.1542482020404,890.1397948374868,416.2398255003625,301.06501226515024,670.0892359368902,481.3479121369237,0.49564516968141126,33.03227964542565,,,70.0,False,True
1765,840.8198534494677,989.4960597262547,509.69169086133,331.1281625881377,110.18508917461634,879.3109705516383,95.0124429697221,0.09602104226267198,153.6957348264897,23.185400248859395,1.0,43.0,False,True
1766,1482.8020421878427,748.6113396971691,1058.5997503840244,424.2022918038183,533.4744280776827,215.13691161948645,47.00015086679833,0.06278311371266564,,,,96.0,False,True
1767,1137.8624445532969,615.0952798867935,979.3869227419925,158.47552181130436,428.7688450757885,186.32643481100502,31.6556453588048,0.05146462083830481,159.62017307535308,,,66.0,False,True
1768,,,,,,,,,,,,,False,False
1769,,,,,,,,,,,,,False,False
1770,,,,,,,,,,,,,False,False
1771,,,,,,,,,,,,,False,False
1772,,,,,,,,,,,,,False,False
1773,,,,,,,,,,,,,False,False
1774,,,,,,,,,,,,,False,False
1775,,,,,,,,,,,,,False,False
1776,,,,,,,,,,,,,False,False
