year,modern_function_share,t,D54,t_post54,D77,t_post77,fitted,counterfactual
1732,0.2938560366048132,32,0.0,-0.0,0.0,-0.0,0.22372873446277658,0.22372873446277658
1733,0.2908429186706522,33,0.0,-0.0,0.0,-0.0,0.22439563472930585,0.22439563472930585
1734,0.0119611777986762,34,0.0,-0.0,0.0,-0.0,0.22506253499583515,0.22506253499583515
1735,0.1354099940533519,35,0.0,-0.0,0.0,-0.0,0.22572943526236444,0.22572943526236444
1736,0.1480960510298785,36,0.0,-0.0,0.0,-0.0,0.2263963355288937,0.2263963355288937
1737,0.0759214492716511,37,0.0,-0.0,0.0,-0.0,0.227063235795423,0.227063235795423
1738,0.190902593262343,38,0.0,-0.0,0.0,-0.0,0.2277301360619523,0.2277301360619523
1739,0.0283440041267953,39,0.0,-0.0,0.0,-0.0,0.2283970363284816,0.2283970363284816
1740,0.0100149066590792,40,0.0,-0.0,0.0,-0.0,0.22906393659501087,0.22906393659501087
1741,0.175614087080986,41,0.0,-0.0,0.0,-0.0,0.22973083686154017,0.22973083686154017
1742,0.3573456828440075,42,0.0,-0.0,0.0,-0.0,0.23039773712806946,0.23039773712806946
1743,0.2728860048046098,43,0.0,-0.0,0.0,-0.0,0.23106463739459873,0.23106463739459873
1744,0.1081627771682967,44,0.0,-0.0,0.0,-0.0,0.23173153766112803,0.23173153766112803
1745,0.1412418780759533,45,0.0,-0.0,0.0,-0.0,0.23239843792765733,0.23239843792765733
1746,0.3318869277249883,46,0.0,-0.0,0.0,-0.0,0.2330653381941866,0.2330653381941866
1747,0.3094303746092715,47,0.0,-0.0,0.0,-0.0,0.2337322384607159,0.2337322384607159
1748,0.2543695270481601,48,0.0,-0.0,0.0,-0.0,0.2343991387272452,0.2343991387272452
1749,0.1898059406132301,49,0.0,-0.0,0.0,-0.0,0.23506603899377446,0.23506603899377446
1750,0.0808929491867136,50,0.0,-0.0,0.0,-0.0,0.23573293926030375,0.23573293926030375
1751,0.2439256530238714,51,0.0,-0.0,0.0,-0.0,0.23639983952683305,0.23639983952683305
1752,0.2752141229459495,52,0.0,-0.0,0.0,-0.0,0.23706673979336232,0.23706673979336232
1753,0.0625274118291199,53,0.0,-0.0,0.0,-0.0,0.23773364005989162,0.23773364005989162
1754,0.3326881346555601,54,0.0,-0.0,0.0,-0.0,0.2384005403264209,0.2384005403264209
1755,0.2573608552205959,55,0.0,-0.0,0.0,-0.0,0.23906744059295018,0.23906744059295018
1756,0.2963294738999275,56,0.0,-0.0,0.0,-0.0,0.23973434085947948,0.23973434085947948
