year,era,amount_sum,amount_median,latinbert_cluster,tfidf_cluster
1793,industrial_1760_1840,12698.6171875,6.972395833333334,0,1
1794,industrial_1760_1840,14134.6234375,7.391666666666667,0,1
1795,industrial_1760_1840,21537.070833333335,8.7125,0,1
1796,industrial_1760_1840,21639.395833333332,8.575000000000001,0,1
1797,industrial_1760_1840,18633.702083333334,8.097395833333334,0,1
1798,industrial_1760_1840,19935.252083333333,7.55,0,1
1799,industrial_1760_1840,21105.455208333333,7.783333333333333,0,1
1800,industrial_1760_1840,32178.216145833336,10.0625,0,1
1801,industrial_1760_1840,21926.358333333334,12.3,0,1
1802,industrial_1760_1840,7200.760416666667,7.854166666666666,0,1
1803,industrial_1760_1840,20644.911458333332,4.7125,0,1
1804,industrial_1760_1840,16730.203125,3.583333333333333,0,1
1805,industrial_1760_1840,20898.435416666667,7.495833333333334,0,1
1806,industrial_1760_1840,25521.519791666666,9.46875,0,1
1807,industrial_1760_1840,23619.475000000002,17.6390625,0,1
1808,industrial_1760_1840,15036.688541666666,9.310416666666667,0,1
1809,industrial_1760_1840,31995.251041666666,10.0,0,1
1810,industrial_1760_1840,33838.822916666664,11.491666666666665,0,1
1811,industrial_1760_1840,21209.83125,11.196875,0,1
1812,industrial_1760_1840,26218.75416666667,10.123958333333333,0,1
1813,industrial_1760_1840,18456.328125,10.261458333333334,0,1
1814,industrial_1760_1840,28292.43020833333,10.0625,0,1
1815,industrial_1760_1840,7765.602083333333,8.4,0,1
1816,industrial_1760_1840,19776.777083333334,9.875,0,1
1817,industrial_1760_1840,35455.68229166667,10.0625,0,1
1818,industrial_1760_1840,3746.501041666667,24.65833333333333,0,1
1819,industrial_1760_1840,28332.916666666668,7.0,0,1
1820,industrial_1760_1840,28827.061458333334,13.479166666666668,0,1
1821,industrial_1760_1840,25657.405208333334,10.01875,0,1
1822,industrial_1760_1840,24103.727083333335,12.555208333333333,0,1
1823,industrial_1760_1840,40857.53229166666,11.474479166666667,0,1
1824,industrial_1760_1840,26808.770833333336,10.5,0,1
1825,industrial_1760_1840,39475.911458333336,15.0,0,1
1826,industrial_1760_1840,33838.817708333336,14.0,0,1
1827,industrial_1760_1840,29926.70625,12.975000000000001,0,1
1828,industrial_1760_1840,39530.245833333334,10.0,0,1
1829,industrial_1760_1840,30741.92916666667,10.101041666666667,0,1
1830,industrial_1760_1840,25808.05416666667,11.1,0,1
1831,industrial_1760_1840,23938.975,9.352083333333333,0,1
1832,industrial_1760_1840,23859.515625,8.0875,0,1
1833,industrial_1760_1840,50830.63958333334,10.8,0,1
1834,industrial_1760_1840,52792.015625,14.377083333333333,0,1
1835,industrial_1760_1840,22665.096875,12.5125,0,1
1836,industrial_1760_1840,23471.828125,11.416666666666668,0,1
1837,industrial_1760_1840,23817.114583333332,9.333333333333334,0,1
1838,industrial_1760_1840,23849.515625,7.025,0,1
1839,industrial_1760_1840,33363.615625,7.0,0,1
1840,industrial_1760_1840,22649.48125,8.366666666666667,0,1
1841,post_1840,30060.103124999998,5.3625,0,1
1842,post_1840,24879.875,6.666666666666667,0,1
1843,post_1840,29410.225,9.070833333333335,0,1
1844,post_1840,17940.761458333334,6.175000000000001,0,1
1845,post_1840,22972.261458333334,3.578125,0,1
1846,post_1840,40276.18958333333,6.666666666666667,0,1
1847,post_1840,19918.634375,5.933333333333334,0,1
1848,post_1840,26330.276041666668,7.94375,0,1
1849,post_1840,18315.679166666665,4.054166666666666,0,1
1850,post_1840,45242.90833333333,7.6,0,1
1851,post_1840,16922.796875,7.893750000000001,0,1
1852,post_1840,23201.16458333333,6.3,0,1
1853,post_1840,29729.003125,10.0,0,1
1854,post_1840,26058.878125,8.947916666666668,0,1
1855,post_1840,45480.115625,6.416666666666666,0,1
1856,post_1840,25582.398958333335,4.945833333333334,0,1
1857,post_1840,46919.636458333334,7.075,0,2
1858,post_1840,43004.90416666667,6.625,0,2
1859,post_1840,31540.6,3.53125,0,2
1860,post_1840,47396.20625,9.362499999999999,0,2
1861,post_1840,54257.644791666666,7.625,0,2
1862,post_1840,29328.011458333334,7.65,0,2
