year,"L1[base{eccl,maint,dom}]",L1[+charitable],L1[+charitable+admin],era
1801,0.8110537739260119,0.8101933747212665,0.7257554356231902,transition
1802,0.8358991152071622,0.8184399497603607,0.7652090073344613,transition
1803,0.9164143872646331,0.9150786351464364,0.6569366188259742,transition
1804,0.850602598387556,0.8447929393902347,0.6894559374407486,transition
1805,0.735442018409715,0.7305304245950188,0.6552105576736769,transition
1806,0.864407071473408,0.8499104155094631,0.6942332312736239,transition
1807,0.8860036898195927,0.8844590243699937,0.7959831618593781,transition
1808,0.7982933967517596,0.7923372615861636,0.7167451974663588,transition
1809,0.8353556578226964,0.8313470160848784,0.6744413945160479,transition
1810,0.8967480279366095,0.8930638743381633,0.8248571396659998,transition
1811,0.8701723647047203,0.8674625766650802,0.6280747246501441,transition
1812,0.7815531200694328,0.7775549332352627,0.715451028718747,transition
1813,0.8437574305620982,0.8351866557199065,0.5312604027869374,transition
1814,0.8190163505357803,0.8166030299297943,0.738309315597159,transition
1815,0.9144675034327089,0.9107772452530211,0.5297642386305452,transition
1816,0.7264303258088307,0.72186857577929,0.6020814429931208,transition
1817,0.7811511079761175,0.7689145519543651,0.6318150160065539,transition
1819,0.8373513818110732,0.8122771372729196,0.7415295426888401,transition
1820,0.7191293460111918,0.7164407499110279,0.6279190281426206,early_industrial
1821,0.7538212371613188,0.7451502308387099,0.6111013414280615,early_industrial
1822,0.7741595834876482,0.7666562745546441,0.6573091017848344,early_industrial
1823,0.720821336485695,0.7161494233549646,0.6681506888008988,early_industrial
1824,0.7279800552540514,0.7214333065838596,0.6456053587511175,early_industrial
1825,0.8680432618163172,0.8544558392628397,0.7960866656524443,early_industrial
1826,0.8873972237801036,0.8804393456436264,0.6602343160693294,early_industrial
1827,0.7049210641692819,0.6935222358421803,0.6694707080719959,early_industrial
1828,0.750635341724543,0.7393009234781182,0.7150190984237275,early_industrial
1829,0.6777007093533824,0.6777007093533824,0.5813860976622995,early_industrial
1830,0.808987170059495,0.7880133344622374,0.7190545824452268,early_industrial
1831,0.767711525902788,0.7672554239847413,0.6870842821059469,early_industrial
1832,0.8208419603348305,0.8018693404791383,0.6545068068518851,early_industrial
1833,0.8105230273100645,0.8059045093766818,0.7439700545572465,early_industrial
1834,0.7333009531166865,0.7289574422911635,0.6424475862562927,early_industrial
1835,0.7510083548340167,0.7419142337987774,0.5678626143445434,early_industrial
1836,0.8309723522495516,0.8226127770370161,0.7544222426063046,early_industrial
1837,0.7657607544776338,0.760686592479338,0.6946147483706718,early_industrial
1838,0.8117311060372558,0.8055846590837032,0.6569211553716567,early_industrial
1839,0.8522158851353836,0.8508858665859351,0.7058912672206701,early_industrial
1840,0.822413996643766,0.8199676869733897,0.7139285742071508,early_industrial
1841,0.6544625698822161,0.648543057051806,0.5546731602797133,early_industrial
1842,0.8072723816289027,0.7876861827174247,0.2525521280315933,early_industrial
1843,0.8720303759551284,0.8603310673041402,0.8274617901567907,early_industrial
1844,0.8906540552507257,0.8892074947965534,0.6162860889561343,early_industrial
1845,0.813635237650218,0.8104430799895855,0.4673786661103093,early_industrial
1846,0.8275113884795352,0.826592000261672,0.6250134814137717,early_industrial
1847,0.7219353549345647,0.7205341338058338,0.5691486798935029,early_industrial
1848,0.6539145641347941,0.5876567872890566,0.557976841298794,early_industrial
1849,0.7469227454491463,0.7266620970208737,0.5319273113737292,early_industrial
1850,0.8112650476263439,0.796928420031155,0.7723845859189459,early_industrial
1851,0.8949814753829363,0.8860264038442042,0.8587754551856226,early_industrial
1852,0.8112096042873985,0.7852578674580278,0.7269589528688667,early_industrial
1853,0.8711181927824316,0.8602995904984909,0.1681391104962452,early_industrial
1854,0.942957528878223,0.9424344809254488,0.8599983066443829,early_industrial
1855,0.9335924158215769,0.9327886974915844,0.7790708318107142,early_industrial
1856,0.8222287481298315,0.8208121275212212,0.6076526781885794,early_industrial
1857,0.6804008492957457,0.6776502234732134,0.5948078338888914,early_industrial
1858,0.9389366831114246,0.9265532568348785,0.7643202452504232,early_industrial
1859,0.8707299737557028,0.8691102754827291,0.811479820233705,early_industrial
1860,0.7033287438754694,0.6977986993173813,0.5562920962979213,late_industrial
1861,0.911036032161808,0.9096149092092798,0.8250836501562695,late_industrial
1862,0.95477035923004,0.9479936520849971,0.7996784991901837,late_industrial
1863,0.9214435262873284,0.9111294491600992,0.7908689301690162,late_industrial
1864,0.8745441878329285,0.8702019207670896,0.743260969900236,late_industrial
1865,0.9340938737334926,0.9216933263999688,0.049985180820609765,late_industrial
1866,0.9415978319155095,0.9360425939515782,0.28345164555429647,late_industrial
1867,0.8432770759511291,0.8283206928560749,0.6178986010409231,late_industrial
1868,0.9252602938430672,0.9197095890233544,0.8903051358679718,late_industrial
1869,0.8532569484039713,0.8306933470898609,0.6318282606137945,late_industrial
