year,L4,scholarship_intensity,prize_intensity,competitive_examinations,lectures_teaching,scientific_professorships,scholarships_prizes,textual_mission_index
1744,0.0005360466285516,0.1658878504672897,0.0,0.0,0.0059693963342861,0.0,0.0058853203295779,-0.2426153348662056
1745,0.0036350965866852,0.002008032128514,0.0,0.0,8.167265599477295e-05,0.0,0.0057170859196341,-0.4786136966472765
1746,0.0197296966002323,0.0008347245409015,0.0,0.0,7.110352673492605e-05,0.0,0.0149317406143344,-0.450167535467493
1747,0.0418716345815284,0.002008032128514,0.0,0.0,0.0108930778739184,0.0,0.005407911001236,-0.2555836856917942
1748,0.0013989828083168,0.0015673981191222,0.0,0.0,0.0108930778739184,0.0,0.0,-0.27318856459919943
1749,0.0110847520212557,0.0017605633802816,0.0,0.0,0.0055756243128632,0.0,0.0,-0.3832357783476565
1750,0.0007494977920812,0.0045871559633027,0.0,0.011566424322538,0.0116490416391275,0.0,0.023132848645076,0.34002119341189146
1751,0.0166571712951485,0.0027932960893854,0.0,0.0,0.0122141372141372,0.0,0.0,-0.2449666359695779
1752,0.0120025377785347,0.002008032128514,0.0,0.0,0.0057657950300471,0.0,0.0056845866493422,-0.36093910229156373
1753,0.0013061716330569,0.3256880733944954,0.0,0.0,9.104151493080844e-05,0.0,0.0127458120903131,-0.23183357556476655
1754,0.0864836678567783,0.142570281124498,0.0,0.0,7.60225026607876e-05,0.0,0.0053215751862551,-0.38267714111409284
1755,0.0164398164621584,0.0045871559633027,0.0,0.0,0.0108344859382203,0.0,0.0107576456124173,-0.23789838099536573
1756,0.0433841851265642,0.4957627118644068,0.0,0.0,0.0072493363283643,0.0071472329997957,0.0,0.5111451941506205
1757,0.0198256017369693,0.0027932960893854,0.0,0.0,0.0395899943577205,0.0,0.0,0.32227818933132113
1758,0.0094882763184864,0.8200934579439253,0.0,0.0,7.767593599502873e-05,0.0,0.0,0.06941950932978985
1759,0.0108583190837342,0.1651376146788991,0.0,0.0,0.0037425927851127,0.0,0.0036386318744152,-0.2964626349159454
1760,0.0108583190837342,0.1651376146788991,0.0,0.0,0.0037425927851127,0.0,0.0036386318744152,-0.2964626349159454
1761,0.0296033534514441,0.6311053984575835,0.0,0.0,0.017533654645172,0.0,0.0,0.300271595578284
1762,0.0991987899867187,0.0045871559633027,0.0,0.0,8.933357155619081e-05,0.0,0.0,-0.49495813928845966
1763,0.0014309753285615,0.0128205128205128,0.0,0.0,0.0251027336072896,0.0,0.0,0.029035501140118897
1764,0.004564142179783,0.0128205128205128,0.0,0.0,9.16254352208173e-05,0.0,0.0,-0.4892102513576242
1765,5.507631230588629e-05,0.125,0.0,0.0,0.0001171783454417,0.0,0.02460745254277,-0.33229407041053516
1766,0.0196280970554114,0.0067567567567567,0.0,0.0,7.642922653622745e-05,0.0,0.0053500458575359,-0.4766086985537972
1767,0.0078272690638267,0.4929906542056075,0.0,0.0,0.0152449617790132,0.0,0.0015201528839471,0.16208707139292508
1768,0.0094838472756715,0.732638888888889,0.0,0.0,0.0169423478400513,0.0,0.0028103420587762,0.3673067177413832
1769,0.0094412915452489,0.125,0.0,0.0,0.0074626865671641,0.0,0.0,-0.2588093322452551
1770,0.028713480395234,0.3636363636363636,0.0,0.0,0.0068027210884353,0.0,0.0,-0.10726334301069625
1771,0.0115399319832726,0.3846153846153846,0.0,0.0,0.0029585798816568,0.0,0.0029585798816568,-0.1629269915490331
1772,0.002880297664514,0.4285714285714285,0.0,0.0,0.0226628895184136,0.0,0.0028328611898017,0.2753895665462258
1773,0.0104266010024337,0.4166666666666667,0.0,0.0,0.0317460317460317,0.0,0.0026455026455026,0.4547562675106842
1774,0.1647070236493829,0.4736842105263157,0.0,0.0,0.0097799511002444,0.0,0.0024449877750611,0.038440275472711
1775,0.1655830237210631,0.5333333333333333,0.0,0.0,0.0054495912806539,0.0,0.0027247956403269,-0.009094059501278248
1776,0.0179059828343494,0.1818181818181818,0.0,0.0,0.0056925996204933,0.0,0.0037950664136622,-0.24400798611708077
1777,0.0111099050122823,0.0,0.0,0.0,0.0028328611898017,0.0,0.0028328611898017,-0.4322242045467331
1778,0.0018282837483128,0.0,0.0,0.0,0.0111731843575419,0.0,0.0111731843575419,-0.23272697472991935
1779,0.0024481380982038,0.0,0.0,0.0,0.0064724919093851,0.0,0.0097087378640776,-0.3348129889159734
1780,0.0392440631137758,0.1666666666666666,0.0,0.0,0.0,0.0,0.0088757396449704,-0.35619943706802076
