year,amount_real_administrative,amount_real_charitable,amount_real_domestic,amount_real_ecclesiastical,amount_real_educational,amount_real_financial,amount_real_land_rent,amount_real_maintenance,amount_real_other,amount_real_salary_stipend,share_administrative,share_charitable,share_domestic,share_ecclesiastical,share_educational,share_financial,share_land_rent,share_maintenance,share_other,share_salary_stipend,total_real,era,hhi,hhi_5yr,share_land_rent_5yr,share_financial_5yr,share_educational_5yr
1817,156.03514409367898,0.0,0.0,406.14551218029453,4.419246746855415,2891.857368245835,879.6336503249527,0.0,547.136219549264,0.0,0.03194020248918027,0.0,0.0,0.08313748786826002,0.0009046143852020272,0.5919596540132378,0.1800599286197214,0.0,0.11199811262439835,0.0,4885.227141140881,transition,0.40331422385671956,0.38614999175378656,0.2832127129283375,0.4397856134536962,0.00018092287704040544
1818,87.1633446046153,0.0,0.0,219.76775226908705,0.0,268.7088449902118,971.636875630302,0.0,0.0,113.79545589369403,0.05247414335972126,0.0,0.0,0.13230475024476235,0.0,0.16176830430271122,0.5849455747332167,0.0,0.0,0.06850722735958845,1661.0722733879102,transition,0.39328163253611165,0.40573828968687414,0.24862941759165116,0.4216810549390158,0.0012513690804380317
1819,0.0,0.0,0.0,432.7057580318995,0.0,2008.0575575118978,448.69258313187066,0.0,0.0,0.0,0.0,0.0,0.0,0.1497533699096161,0.0,0.6949604451247227,0.15528618496566124,0.0,0.0,0.0,2889.455898675668,transition,0.5295098913284285,0.39186494378704273,0.2875847228647647,0.38364784416980335,0.0014954388372063778
1820,3.275620028076743,0.0,0.0,161.62845109967242,16.245515520199657,596.6346903759163,606.8968374668539,0.0,1650.598093121198,0.0,0.0010791824422155616,0.0,0.0,0.053249945077322135,0.005352231016988131,0.19656665814455135,0.19994761468561748,0.0,0.5438043686333054,0.0,3035.2792076119167,early_industrial,0.37720605871959356,0.3905557797185792,0.30350281584325056,0.3773236193078137,0.0013145159601659724
1821,8.227315322183575,0.0,1.3103349692666888,486.6425247375359,4.0977748129794636,916.6458204285193,1066.743202141008,56.69581169295278,817.509053223424,0.0,0.002450157635775258,0.0,0.00039022780878659986,0.1449258781492973,0.0012203487838417307,0.2729841592637939,0.31768431131960706,0.016884447781089294,0.24346046925780884,0.0,3357.87183732787,early_industrial,0.2560129124943603,0.368813140095328,0.24100069962531254,0.4155775573377361,0.00256820746129935
1822,0.0,0.0,0.0,340.2166043810263,0.0,1721.7025011324663,797.8047345175694,48.534265191225,164.35320002588495,0.0,0.0,0.0,0.0,0.11072555900576149,0.0,0.5603385297032897,0.25965039351215025,0.015795771208784556,0.053489746570014096,0.0,3072.611305248172,early_industrial,0.39676840351440185,0.32014645040679424,0.24529863732498694,0.3594766419201995,0.00256820746129935
1823,90.98214727263735,0.0,0.0,182.1909565962778,25.204820071542784,1419.5293053426306,1095.4329657286978,49.45353840067257,1158.1029622669503,0.0,0.022627327722793966,0.0,0.0,0.04531102646632235,0.006268457505666888,0.35303799445232287,0.2724349936435268,0.01229913179659952,0.2880210684127676,0.0,4020.8966956794093,early_industrial,0.2845684344198559,0.31211317880275513,0.24796301311022012,0.41146663103212433,0.0015021077921349257
1824,9.67419430722183,0.0,34.89515072083879,497.06791679268747,0.0,1520.611221729341,648.5790108209833,25.204153644520616,932.9023423060121,0.0,0.0026367861435342495,0.0,0.009510978069621801,0.13548020163456698,0.0,0.41445586803703977,0.17677587346403342,0.006869612184631131,0.25427068046657264,0.0,3668.933990321605,early_industrial,0.2861764428857597,0.331013615504718,0.22431745565557265,0.4572327740902701,0.0025446199005057296
1825,29.915188897455664,0.0,38.2934978154716,134.3442131414375,0.10280133641737343,2159.4454082069733,1008.8216396813159,2.8548787800908078,1356.489334361347,0.0,0.006324207309308544,0.0,0.008095420009338258,0.02840097910211243,2.1732671166008747e-05,0.45651660370417535,0.2132694936117832,0.0006035343888393679,0.28676802920327693,0.0,4730.2669622205085,early_industrial,0.3370397006993978,0.30606034605421273,0.21944623679022834,0.3914541922279944,0.0039333390510188585
1826,39.547504194630875,0.0,0.0,196.83305369127515,28.138982102908276,2195.05033557047,872.4673823755593,0.0,1042.1860799426734,0.0,0.009041034519700659,0.0,0.0,0.0449984005130345,0.006432909325695751,0.5018148745545222,0.19945652404636988,0.0,0.23825625704067688,0.0,4374.223337877517,early_industrial,0.3505150960041746,0.3705004571980476,0.18357896387306666,0.47406685175671415,0.0030241219384838083
