year,role,n_entries,amount_real,era,total,role_share
1704,artisan_supplier,2.0,10.950433582972012,pre_industrial,43.385714285714286,0.04609812314784326
1704,domestic_service,5.0,31.467612665878328,pre_industrial,43.385714285714286,0.11524530786960817
1704,student,0.04285714285714286,0.8446421532743958,pre_industrial,43.385714285714286,0.0009878169245966415
1704,unclassified,33.34285714285714,38.59939854440002,pre_industrial,43.385714285714286,0.768521567336187
1705,academic_traditional,3.0,15.494599901816398,pre_industrial,45.385714285714286,0.06610009442870633
1705,artisan_supplier,3.0,15.549828178694158,pre_industrial,45.385714285714286,0.06610009442870633
1705,domestic_service,3.0,5.171003109147439,pre_industrial,45.385714285714286,0.06610009442870633
1705,student,0.04285714285714286,0.8415737428992215,pre_industrial,45.385714285714286,0.0009442870632672333
1705,unclassified,36.34285714285714,174.84233641910373,pre_industrial,45.385714285714286,0.8007554296506137
1706,student,0.04285714285714286,0.8385275456298739,pre_industrial,21.385714285714286,0.002004008016032064
1706,unclassified,21.34285714285714,96.60316276285509,pre_industrial,21.385714285714286,0.9979959919839678
1707,academic_modern,1.0,0.09747538746466518,pre_industrial,31.385714285714286,0.03186162949476559
1707,academic_traditional,2.0,1.2996718328622023,pre_industrial,31.385714285714286,0.06372325898953118
1707,artisan_supplier,4.0,50.163271274003314,pre_industrial,31.385714285714286,0.12744651797906237
1707,domestic_service,3.0,5.564220034441304,pre_industrial,31.385714285714286,0.09558488848429676
1707,student,0.04285714285714286,0.8355033211257014,pre_industrial,31.385714285714286,0.0013654984069185253
1707,unclassified,21.34285714285714,49.985422207678276,pre_industrial,31.385714285714286,0.6800182066454256
1708,academic_traditional,2.0,1.7644392644392644,pre_industrial,46.385714285714286,0.04311672312904219
1708,artisan_supplier,2.0,22.419709919709916,pre_industrial,46.385714285714286,0.04311672312904219
1708,domestic_service,3.0,4.0792540792540795,pre_industrial,46.385714285714286,0.06467508469356328
1708,student,0.04285714285714286,0.8325008325008324,pre_industrial,46.385714285714286,0.0009239297813366184
1708,unclassified,39.34285714285714,99.8424174205424,pre_industrial,46.385714285714286,0.8481675392670157
1709,academic_traditional,4.0,43.840123874963716,pre_industrial,35.385714285714286,0.11303996770286637
1709,domestic_service,5.0,9.651521016806996,pre_industrial,35.385714285714286,0.14129995962858297
1709,student,0.04285714285714286,0.8295198462623219,pre_industrial,35.385714285714286,0.0012111425111021397
1709,unclassified,26.34285714285714,141.5487625176849,pre_industrial,35.385714285714286,0.7444489301574485
1710,academic_traditional,1.0,1.1089681774349085,pre_industrial,36.385714285714286,0.027483313702394974
1710,artisan_supplier,2.0,1.012536162005786,pre_industrial,36.385714285714286,0.05496662740478995
1710,domestic_service,5.0,15.22018643522983,pre_industrial,36.385714285714286,0.13741656851197487
1710,student,0.04285714285714286,0.8265601322496211,pre_industrial,36.385714285714286,0.001177856301531213
1710,unclassified,28.34285714285714,81.62251170960188,pre_industrial,36.385714285714286,0.7789556340793089
1711,academic_traditional,1.0,1.1115406920549002,pre_industrial,23.385714285714286,0.04276114844227245
1711,artisan_supplier,2.0,1.6431471099942003,pre_industrial,23.385714285714286,0.0855222968845449
1711,domestic_service,1.0,0.07249178426445002,pre_industrial,23.385714285714286,0.04276114844227245
1711,student,0.04285714285714286,0.8284775344508573,pre_industrial,23.385714285714286,0.0018326206475259622
1711,unclassified,19.34285714285714,184.47230296042636,pre_industrial,23.385714285714286,0.8271227855833841
1712,academic_traditional,1.0,21.725440806045338,pre_industrial,3.3857142857142857,0.29535864978902954
1712,student,0.04285714285714286,0.8304038530738782,pre_industrial,3.3857142857142857,0.012658227848101266
1712,unclassified,2.342857142857143,3.5238677674131074,pre_industrial,3.3857142857142857,0.6919831223628692
1713,academic_traditional,1.0,0.6473748948015796,pre_industrial,24.385714285714286,0.041007615700058585
1713,domestic_service,4.0,5.098077296562439,pre_industrial,24.385714285714286,0.16403046280023434
1713,student,0.04285714285714286,0.8323391504591737,pre_industrial,24.385714285714286,0.0017574692442882249
1713,unclassified,19.34285714285714,70.17932573592653,pre_industrial,24.385714285714286,0.7932044522554188
1714,domestic_service,2.0,0.4663876451885018,pre_industrial,9.385714285714286,0.213089802130898
