year,land_arrears_rate,land_amount_share,land_income_share,stress_index
1772,0.3793103448275862,0.32217236906742625,0.16893411684890616,0.06407845811510234
1773,0.7678571428571429,0.5298472042746728,0.21479544232379916,0.16493221464148866
1774,0.783625730994152,0.6571470621366757,0.3887192597830973,0.3046104140990353
1775,0.7066666666666667,0.5822306662341684,0.4404699856033535,0.31126545649303644
1776,0.7798165137614679,0.5673823680526803,0.45221858945990945,0.35264752389075504
1777,0.8368794326241135,0.5931572884885663,0.4265716815977846,0.35698906686906795
1778,0.8307692307692308,0.5552353807122499,0.4767083607501022,0.3960346381616234
1779,0.7333333333333333,0.3490924904290217,0.4670964251764457,0.3425373784627268
1780,0.4672897196261682,0.2525970501013068,0.43891017289188594,0.2050982116317224
1781,0.5317460317460317,0.3262226438711343,0.390320845350872,0.20755156062308275
1782,0.5234899328859061,0.3243912337370308,0.5021890871431487,0.26289093152460136
1783,0.6,0.3499137418919279,0.5196756833593635,0.3118054100156181
1784,0.49019607843137253,0.228921469131898,0.46222919828969977,0.22658294033808812
1785,0.0,0.0,0.3627828177521004,0.0
1786,0.2975206611570248,0.22181524474337713,0.3172620019095104,0.0943920005681188
1787,0.5078125,0.25415295728114645,0.4030047194001789,0.20465083407040335
1788,0.5703125,0.25031582129498786,0.45034684349825,0.2568384341825957
1789,0.3881578947368421,0.3396424940157839,0.3472936248207237,0.1348047622659388
1790,0.10191082802547771,0.08829644384097064,0.28879188021946517,0.029431019640200274
1791,0.14634146341463414,0.10046874831557354,0.2894410161737661,0.04235722187908772
1792,0.6285714285714286,0.20399957917125175,0.21815055518949386,0.1371232061191104
1793,0.5106382978723404,0.24315526095158252,0.22299461637077703,0.11386959133826911
1794,0.5163934426229508,0.3065594800307877,0.23090426854537918,0.11923745015048269
1795,0.6065573770491803,0.46070476245089886,0.23814710738480357,0.14444988480717594
1796,0.625,0.6546427230511208,0.2443205514520262,0.15270034465751636
1797,0.42857142857142855,0.460145560175073,0.2532176333723463,0.1085218428738627
1798,0.3125,0.30918010241713795,0.3287872916557353,0.10274602864241728
1799,0.45544554455445546,0.4074821610681796,0.22744252106731444,0.10358768286234124
1800,0.4551282051282051,0.23323450962093728,0.27462620797926435,0.12499013311876775
1801,0.37142857142857144,0.10409936537021462,0.4012254648863242,0.14902660124349185
1802,0.7444444444444445,0.3698602882565039,0.951875513592691,0.708618437896781
1803,0.5131578947368421,0.19506628824229397,0.32833363862888,0.16848699877008316
1804,0.625,0.3264860716529419,0.3781384087448938,0.23633650546555862
1805,0.4845360824742268,0.3501308221491051,0.5030426733959739,0.24374232628464712
1806,0.265625,0.11525641506403565,0.32823456986823013,0.08718730762124863
1807,0.6811594202898551,0.6626982860194208,0.3547690970828005,0.24165431250567573
1808,0.2876712328767123,0.33721421723400685,0.32795299950632884,0.09434264369360144
1809,0.2328767123287671,0.12687870720010638,0.17556185480775982,0.04088426755797146
1810,0.23076923076923078,0.08598880021405733,0.1410166534309537,0.0325423046379124
1811,0.21621621621621623,0.12586231443252266,0.2398440946800016,0.05185818263351386
1812,0.02531645569620253,0.00019788482056936596,0.30867291436798244,0.007814504161214745
1813,0.6290322580645161,0.5360699542853933,0.26425464360500384,0.1662246951708895
1814,0.28125,0.2531951978721631,0.3636764061444104,0.10228398922811542
