unit,unit_id,year_ref,cluster
page,1743_6_image,1743,7
page,1743_7_image,1743,7
page,1744_1_image,1744,7
page,1744_2_image,1744,2
page,1744_3_image,1744,2
page,1744_4_image,1744,2
page,1744_5_image,1744,2
page,1744_6_image,1744,7
page,1744_7_image,1744,7
page,1745_1_image,1745,7
page,1745_2_image,1745,2
page,1745_3_image,1745,2
page,1745_4_image,1745,3
page,1745_5_image,1745,2
page,1745_6_image,1745,7
page,1746_1_image,1746,2
page,1746_2_image,1746,3
page,1746_3_image,1746,2
page,1746_4_image,1746,2
page,1746_5_image,1746,2
page,1746_6_image,1746,7
page,1746_7_image,1746,7
page,1747_1_image,1747,7
page,1747_2_image,1747,2
page,1747_3_image,1747,2
page,1747_4_image,1747,2
page,1747_5_image,1747,2
page,1747_6_image,1747,7
page,1747_7_image,1747,7
page,1748_1_image,1748,3
page,1748_2_image,1748,2
page,1748_3_image,1748,2
page,1748_4_image,1748,2
page,1748_5_image,1748,2
page,1748_6_image,1748,7
page,1748_7_image,1748,7
page,1749_1_image,1749,7
page,1749_2_image,1749,2
page,1749_3_image,1749,2
page,1749_4_image,1749,2
page,1749_5_image,1749,2
page,1749_6_image,1749,7
page,1749_7_image,1749,7
page,1750_1_image,1750,7
page,1750_2_image,1750,2
page,1750_3_image,1750,2
page,1750_4_image,1750,2
page,1750_5_image,1750,2
page,1750_6_image,1750,2
page,1750_7_image,1750,7
page,1750_8_image,1750,7
page,1751_1_image,1751,7
page,1751_2_image,1751,2
page,1751_3_image,1751,2
page,1751_4_image,1751,2
page,1751_5_image,1751,2
page,1751_6_image,1751,7
page,1751_7_image,1751,7
page,1752_1_image,1752,7
page,1752_2_image,1752,2
page,1752_3_image,1752,2
page,1752_4_image,1752,2
page,1752_5_image,1752,2
page,1752_6_image,1752,2
page,1752_7_image,1752,2
page,1752_8_image,1752,7
page,1753_1_image,1753,7
page,1753_2_image,1753,2
page,1753_3_image,1753,2
page,1753_4_image,1753,2
page,1753_5_image,1753,7
page,1753_6_image,1753,7
page,1754_1_image,1754,7
page,1754_2_image,1754,2
page,1754_3_image,1754,2
page,1754_4_image,1754,2
page,1754_5_image,1754,2
page,1754_6_image,1754,2
page,1754_7_image,1754,2
page,1754_8_image,1754,7
page,1754_9_image,1754,7
page,1755_1_image,1755,7
page,1755_2_image,1755,2
page,1755_3_image,1755,2
page,1755_4_image,1755,2
page,1755_5_image,1755,2
page,1755_6_image,1755,2
page,1755_7_image,1755,7
page,1755_8_image,1755,7
page,1756_1_image,1756,7
page,1756_2_image,1756,2
page,1756_3_image,1756,2
page,1756_4_image,1756,2
page,1756_5_image,1756,2
page,1756_6_image,1756,7
page,1756_7_image,1756,7
page,1757_1_image,1757,7
page,1757_2_image,1757,2
page,1757_3_image,1757,2
page,1757_4_image,1757,2
page,1757_5_image,1757,2
page,1757_6_image,1757,2
page,1757_7_image,1757,7
page,1757_8_image,1757,7
page,1758_1_image,1758,7
page,1758_2_image,1758,2
page,1758_3_image,1758,2
page,1758_4_image,1758,2
page,1758_5_image,1758,2
page,1758_6_image,1758,7
page,1758_7_image,1758,7
page,1759-1760_10_image,1759,2
page,1759-1760_11_image,1759,2
page,1759-1760_12_image,1759,7
page,1759-1760_1_image,1759,7
page,1759-1760_2_image,1759,3
page,1759-1760_3_image,1759,3
page,1759-1760_4_image,1759,2
page,1759-1760_5_image,1759,2
page,1759-1760_6_image,1759,2
page,1759-1760_7_image,1759,7
page,1759-1760_8_image,1759,7
page,1759-1760_9_image,1759,2
page,1761_1_image,1761,2
page,1761_2_image,1761,2
page,1761_3_image,1761,2
page,1761_4_image,1761,3
page,1761_5_image,1761,2
page,1761_6_image,1761,2
page,1761_7_image,1761,7
page,1761_8_image,1761,7
page,1762_1_image,1762,7
page,1762_2_image,1762,3
page,1762_3_image,1762,2
page,1762_4_image,1762,2
page,1762_5_image,1762,2
page,1762_6_image,1762,2
page,1762_7_image,1762,7
page,1762_8_image,1762,7
page,1763_1_image,1763,7
page,1763_2_image,1763,2
page,1763_3_image,1763,2
page,1763_4_image,1763,2
page,1763_5_image,1763,2
page,1763_6_image,1763,2
page,1763_7_image,1763,2
page,1763_8_image,1763,7
page,1763_9_image,1763,7
page,1764_1_image,1764,2
page,1764_2_image,1764,2
page,1764_3_image,1764,2
page,1764_4_image,1764,2
page,1764_5_image,1764,2
page,1764_6_image,1764,2
page,1764_7_image,1764,7
page,1764_8_image,1764,7
page,1765_1_image,1765,3
page,1765_2_image,1765,2
page,1765_3_image,1765,2
page,1765_4_image,1765,2
page,1765_5_image,1765,2
page,1765_6_image,1765,2
page,1765_7_image,1765,7
page,1765_8_image,1765,7
page,1766_10_image,1766,2
page,1766_1_image,1766,3
page,1766_2_image,1766,2
page,1766_3_image,1766,2
page,1766_4_image,1766,3
page,1766_5_image,1766,2
page,1766_6_image,1766,2
page,1766_7_image,1766,2
page,1766_8_image,1766,2
page,1766_9_image,1766,2
page,1767-1768_10_image,1767,2
page,1767-1768_11_image,1767,2
page,1767-1768_12_image,1767,2
page,1767-1768_13_image,1767,3
page,1767-1768_14_image,1767,7
page,1767-1768_1_image,1767,7
page,1767-1768_2_image,1767,3
page,1767-1768_3_image,1767,2
page,1767-1768_4_image,1767,3
page,1767-1768_5_image,1767,3
page,1767-1768_6_image,1767,7
page,1767-1768_7_image,1767,7
page,1767-1768_8_image,1767,2
page,1767-1768_9_image,1767,2
page,1767_1_image,1767,7
page,1767_2_image,1767,3
page,1767_3_image,1767,2
page,1767_4_image,1767,2
page,1767_5_image,1767,2
page,1767_6_image,1767,2
page,1767_7_image,1767,7
page,1767_8_image,1767,7
page,1769-1700_1_image,1769,7
page,1769-1700_2_image,1769,2
page,1769-1700_3_image,1769,2
page,1769-1700_4_image,1769,3
page,1769-1700_5_image,1769,2
page,1769-1700_6_image,1769,2
page,1770-1771_1_image,1770,7
page,1770-1771_2_image,1770,2
page,1770-1771_3_image,1770,2
