year,modern_real,total_real,modern_function_share,era,mfs_10yr,ci_lo,ci_hi
1717,33.59864370664949,174.83569981609583,0.19217267264060398,pre_industrial,0.21635260762127478,0.10631117398619346,0.31805678228281886
1718,87.20119667536892,529.0431217191141,0.16482814556214345,pre_industrial,0.19925768105543507,0.060459253905786735,0.29273716776115505
1719,10.593365152836792,192.82290816661512,0.05493831232792754,pre_industrial,0.19960810360468642,0.02338473294832632,0.10327820525021127
1720,143.66695752832226,464.02155901847414,0.3096126779803402,pre_industrial,0.19730177308117328,0.10988100254704349,0.49719020154415533
1721,59.2228303088867,343.77506063103635,0.17227203800117663,pre_industrial,0.20664539818176286,0.0847958513916076,0.25737811629008955
1722,59.67994317313934,346.4284968448086,0.17227203800117658,pre_industrial,0.1956847800905285,0.08308351456298123,0.2621099470099429
1723,119.70300330961761,439.98624199654614,0.2720607870974231,pre_industrial,0.1895588229594732,0.1310269711976994,0.41123772498772015
1724,13.819150522151439,415.55276177870866,0.033254863866144756,pre_industrial,0.2323078423382882,0.011883743145788455,0.0570504587941412
1725,143.3152074323829,386.54939040777936,0.37075522815130185,pre_industrial,0.23296373437054751,0.22543717393256674,0.5410651435667949
1726,84.9799196416258,395.8426916484426,0.21468103727704668,pre_industrial,0.222329223412116,0.06897117892382745,0.37687713343971524
1727,18.061901410548582,137.9686313061352,0.13091310133005143,pre_industrial,0.23655600468303534,0.06597126505634818,0.2603031264744847
1728,225.73011138973138,381.095935063115,0.592318339350293,pre_industrial,0.24871440454339896,0.3941017391144731,0.7492364994763395
1729,17.349973130080688,282.1260792120176,0.06149723265052073,pre_industrial,0.2505926177007219,0.031766990286051726,0.10498597574401294
1730,98.3420615842491,483.8059625559626,0.20326756839602553,pre_industrial,0.24846324909397505,0.053132250289867296,0.3613951208731307
1731,241.51793609527854,767.8452684129679,0.3145398507103695,pre_industrial,0.22492872568418004,0.10951683592676717,0.5063393404760226
1732,169.04274133240986,575.2569975608288,0.2938560366048132,pre_industrial,0.21827022705946325,0.14327630062527555,0.47064586370840805
1733,245.63490505603414,844.562096195262,0.2908429186706522,pre_industrial,0.2127710618536232,0.16792125878842715,0.41367853928422943
1734,11.775342806631805,984.4634871939624,0.011961177798676231,pre_industrial,0.1726294872448282,0.004622568524380701,0.030915638222816226
1735,82.71053165584418,610.8155622786304,0.13540999405335197,pre_industrial,0.16931416439245567,0.04167723718564749,0.26795922944788736
1736,99.85551242767222,674.2618167956838,0.14809605102987858,pre_industrial,0.14998889821876105,0.04239444683075296,0.292710075838386
1737,46.06278341781248,606.7163345762449,0.07592144927165112,pre_industrial,0.1360963218558227,0.038896421663052114,0.1261240168315922
1738,42.749530297329635,223.9337327313421,0.19090259326234305,pre_industrial,0.14244528647974214,0.07281975068715675,0.36128542931348584
1739,9.542575459128901,336.6699855264167,0.028344004126795396,pre_industrial,0.1406495950931379,0.012996162430154667,0.053252668841166986
1740,31.13983630952381,3109.3486309523805,0.010014906659079207,pre_industrial,0.15026975503009993,0.0033749282974383996,0.03837665628399527
1741,82.25531964054656,468.38679634290264,0.175614087080986,pre_industrial,0.15085294343236005,0.036805933655424186,0.4091314335520562
1742,200.12326098955523,560.0270846896317,0.3573456828440075,pre_industrial,0.16923203110187104,0.1758474865349633,0.5386150646871876
1743,106.37330602786423,389.80857997473714,0.2728860048046098,pre_industrial,0.19258292363563306,0.09409046828148662,0.4402878822924505
1744,71.3617765765513,659.762798670705,0.10816277716829677,pre_industrial,0.1989296170142148,0.035602796526825076,0.226627938956247
1745,70.62290634377835,500.0139286295856,0.14124187807595331,pre_industrial,0.21507581066285825,0.05718637870607253,0.23386871703037332
1746,260.74110384768574,785.63234061374,0.33188692772498835,pre_industrial,0.2221636149156217,0.1606770247477879,0.49588652191795807
1747,185.7353919155037,600.2493845345282,0.3094303746092715,pre_industrial,0.22899477150991024,0.1612080896064108,0.4727673396275798
1748,207.70913933711495,816.5645537320556,0.2543695270481601,pre_industrial,0.22078161552010442,0.13311213295707788,0.42342820111743934
1749,309.02035847918745,1628.085809542084,0.1898059406132301,pre_industrial,0.19974575622255544,0.08343664733438308,0.4812898413386327
1750,274.2371486560241,3390.124249556556,0.08089294918671361,pre_industrial,0.2221982919712818,0.02963735141566908,0.19358874144018326
1751,138.5537205193987,568.016191826447,0.24392565302387142,pre_industrial,0.23381018968574607,0.09910175633721512,0.4742261937786475
1752,180.88969720254798,657.2689485055013,0.2752141229459495,pre_industrial,0.23025444430324,0.15392503033202629,0.4368104653252581
1753,148.94506448412696,2382.076278659612,0.06252741182911992,pre_industrial,0.2260999923253697,0.02311545905381597,0.26189203967101854
1754,209.229150298983,628.9047564488673,0.33268813465556013,pre_industrial,0.2146693878744994,0.1730374154562702,0.4777685574897534
1755,218.79654686284672,850.1547240947195,0.2573608552205959,pre_industrial,0.21572555280076555,0.1347340668379155,0.3876745792200218
