era,term,relative_freq
industrial_1760_1840,advice,1.2236307571827126e-05
post_1840,advice,0.0
pre_1760,advowson,4.822879741493646e-05
industrial_1760_1840,advowson,0.0
post_1840,advowson,7.071135624381275e-05
pre_1760,ady,0.00014468639224480938
industrial_1760_1840,ady,1.2236307571827126e-05
post_1840,ady,7.071135624381275e-05
pre_1760,ady xti,9.645759482987291e-05
industrial_1760_1840,ady xti,1.2236307571827126e-05
post_1840,ady xti,0.0
pre_1760,aed,9.645759482987291e-05
industrial_1760_1840,aed,1.2236307571827126e-05
post_1840,aed,0.0
pre_1760,aedif,0.0
industrial_1760_1840,aedif,1.2236307571827126e-05
post_1840,aedif,0.00010606703436571913
pre_1760,aedific,0.0
industrial_1760_1840,aedific,3.6708922715481375e-05
post_1840,aedific,3.5355678121906375e-05
pre_1760,aedificiorum,9.645759482987291e-05
industrial_1760_1840,aedificiorum,0.00022025353629288825
post_1840,aedificiorum,7.071135624381275e-05
pre_1760,aedificiorum janitori,0.0
industrial_1760_1840,aedificiorum janitori,9.7890460574617e-05
post_1840,aedificiorum janitori,3.5355678121906375e-05
pre_1760,aedis,7.234319612240469e-05
industrial_1760_1840,aedis,0.000293671381723851
post_1840,aedis,0.00010606703436571913
pre_1760,aedis christi,0.0
industrial_1760_1840,aedis christi,9.7890460574617e-05
post_1840,aedis christi,7.071135624381275e-05
pre_1760,aedis xti,4.822879741493646e-05
industrial_1760_1840,aedis xti,9.7890460574617e-05
post_1840,aedis xti,0.0
pre_1760,aff,2.411439870746823e-05
industrial_1760_1840,aff,9.7890460574617e-05
post_1840,aff,0.0
pre_1760,affair,2.411439870746823e-05
industrial_1760_1840,affair,9.7890460574617e-05
post_1840,affair,0.0
pre_1760,affairs,4.822879741493646e-05
industrial_1760_1840,affairs,7.341784543096275e-05
post_1840,affairs,0.0
pre_1760,affidavit,2.411439870746823e-05
industrial_1760_1840,affidavit,3.6708922715481375e-05
post_1840,affidavit,0.0
pre_1760,agency,0.0
industrial_1760_1840,agency,0.0003059076892956781
post_1840,agency,0.0011667373780229104
pre_1760,agreement,4.822879741493646e-05
industrial_1760_1840,agreement,2.447261514365425e-05
post_1840,agreement,0.0
pre_1760,agt,2.411439870746823e-05
industrial_1760_1840,agt,4.89452302873085e-05
post_1840,agt,0.0
pre_1760,aid,2.411439870746823e-05
industrial_1760_1840,aid,3.6708922715481375e-05
post_1840,aid,0.0002474897468533447
pre_1760,aid repairs,0.0
industrial_1760_1840,aid repairs,2.447261514365425e-05
post_1840,aid repairs,3.5355678121906375e-05
pre_1760,aids,0.0
industrial_1760_1840,aids,1.2236307571827126e-05
post_1840,aids,7.071135624381275e-05
pre_1760,al,0.0007957751573464516
industrial_1760_1840,al,4.89452302873085e-05
post_1840,al,0.0
pre_1760,alex,0.00012057199353734115
industrial_1760_1840,alex,2.447261514365425e-05
post_1840,alex,3.5355678121906375e-05
pre_1760,alexander,4.822879741493646e-05
industrial_1760_1840,alexander,4.89452302873085e-05
post_1840,alexander,0.0
pre_1760,ali,2.411439870746823e-05
industrial_1760_1840,ali,0.0
post_1840,ali,7.071135624381275e-05
pre_1760,alias,0.0021702958836721407
industrial_1760_1840,alias,7.341784543096275e-05
post_1840,alias,3.5355678121906375e-05
pre_1760,alias calcot,4.822879741493646e-05
industrial_1760_1840,alias calcot,2.447261514365425e-05
post_1840,alias calcot,0.0
pre_1760,alias hertford,2.411439870746823e-05
industrial_1760_1840,alias hertford,2.447261514365425e-05
post_1840,alias hertford,0.0
pre_1760,allen,2.411439870746823e-05
industrial_1760_1840,allen,3.6708922715481375e-05
post_1840,allen,0.0
pre_1760,allotment,0.0
industrial_1760_1840,allotment,7.341784543096275e-05
post_1840,allotment,7.071135624381275e-05
pre_1760,allow,2.411439870746823e-05
industrial_1760_1840,allow,0.000195780921149234
post_1840,allow,0.00010606703436571913
pre_1760,allowance,0.0002411439870746823
industrial_1760_1840,allowance,0.0003059076892956781
post_1840,allowance,0.003075943996605855
pre_1760,allowance draining,0.0
industrial_1760_1840,allowance draining,1.2236307571827126e-05
post_1840,allowance draining,0.00017677839060953188
pre_1760,allowance kitchen,0.0
industrial_1760_1840,allowance kitchen,3.6708922715481375e-05
post_1840,allowance kitchen,0.0005303351718285957
pre_1760,allowance mr,2.411439870746823e-05
industrial_1760_1840,allowance mr,2.447261514365425e-05
post_1840,allowance mr,7.071135624381275e-05
pre_1760,allowd,0.0003617159806120234
industrial_1760_1840,allowd,6.118153785913563e-05
post_1840,allowd,0.0
pre_1760,allowd mr,0.00019291518965974583
industrial_1760_1840,allowd mr,1.2236307571827126e-05
post_1840,allowd mr,0.0
pre_1760,allowed,0.0014227495237406256
industrial_1760_1840,allowed,0.001566247369193872
post_1840,allowed,0.0011667373780229104
pre_1760,allowed mr,0.0009163471508837927
industrial_1760_1840,allowed mr,0.0005139249180167393
post_1840,allowed mr,0.0001414227124876255
pre_1760,allowed repairs,0.0
industrial_1760_1840,allowed repairs,3.6708922715481375e-05
post_1840,allowed repairs,3.5355678121906375e-05
pre_1760,alm,2.411439870746823e-05
industrial_1760_1840,alm,2.447261514365425e-05
post_1840,alm,3.5355678121906375e-05
pre_1760,almanac,0.0
industrial_1760_1840,almanac,1.2236307571827126e-05
post_1840,almanac,0.0001414227124876255
pre_1760,almanack,2.411439870746823e-05
industrial_1760_1840,almanack,0.0
post_1840,almanack,0.0001414227124876255
pre_1760,als,0.0006510887651016422
industrial_1760_1840,als,4.89452302873085e-05
post_1840,als,0.0
pre_1760,als jesus,7.234319612240469e-05
industrial_1760_1840,als jesus,4.89452302873085e-05
post_1840,als jesus,0.0
pre_1760,ance,2.411439870746823e-05
industrial_1760_1840,ance,0.0
post_1840,ance,7.071135624381275e-05
pre_1760,andrew,0.00019291518965974583
industrial_1760_1840,andrew,0.0001468356908619255
post_1840,andrew,3.5355678121906375e-05
pre_1760,ang,2.411439870746823e-05
industrial_1760_1840,ang,4.89452302873085e-05
post_1840,ang,0.0
pre_1760,angm,4.822879741493646e-05
industrial_1760_1840,angm,0.000293671381723851
post_1840,angm,0.0
pre_1760,anim,0.0005787455689792375
industrial_1760_1840,anim,0.0005383975331603935
post_1840,anim,0.0007071135624381275
pre_1760,anim coll,0.00028937278448961875
industrial_1760_1840,anim coll,0.00046497968772943077
post_1840,anim coll,0.000565690849950502
pre_1760,animar,0.00033760158190455523
industrial_1760_1840,animar,0.0
post_1840,animar,3.5355678121906375e-05
pre_1760,animar coll,0.0002652583857821505
industrial_1760_1840,animar coll,0.0
post_1840,animar coll,3.5355678121906375e-05
pre_1760,animarum,0.0004099447780269599
industrial_1760_1840,animarum,0.000293671381723851
post_1840,animarum,0.00021213406873143826
pre_1760,animarum coll,0.00028937278448961875
industrial_1760_1840,animarum coll,0.00022025353629288825
post_1840,animarum coll,0.00021213406873143826
pre_1760,anish,7.234319612240469e-05
industrial_1760_1840,anish,0.00013459938329009837
post_1840,anish,0.0
pre_1760,anish pro,2.411439870746823e-05
industrial_1760_1840,anish pro,0.00011012676814644413
post_1840,anish pro,0.0
pre_1760,anm,4.822879741493646e-05
industrial_1760_1840,anm,2.447261514365425e-05
post_1840,anm,0.0
pre_1760,ann,0.010345077045503871
industrial_1760_1840,ann,0.004931231951446332
post_1840,ann,0.0020152736529486636
pre_1760,ann ad,0.00038583037931949165
industrial_1760_1840,ann ad,0.0002814350741520239
post_1840,ann ad,3.5355678121906375e-05
pre_1760,ann augm,0.0002652583857821505
industrial_1760_1840,ann augm,8.565415300278988e-05
post_1840,ann augm,0.0001414227124876255
pre_1760,ann bampton,0.000313487183197087
industrial_1760_1840,ann bampton,3.6708922715481375e-05
post_1840,ann bampton,0.0
pre_1760,ann bensington,2.411439870746823e-05
industrial_1760_1840,ann bensington,2.447261514365425e-05
post_1840,ann bensington,0.0
pre_1760,ann capons,2.411439870746823e-05
industrial_1760_1840,ann capons,2.447261514365425e-05
post_1840,ann capons,0.0
pre_1760,ann clifton,0.0002411439870746823
industrial_1760_1840,ann clifton,6.118153785913563e-05
post_1840,ann clifton,0.0
pre_1760,ann coll,2.411439870746823e-05
industrial_1760_1840,ann coll,4.89452302873085e-05
post_1840,ann coll,0.0
pre_1760,ann dno,0.0
industrial_1760_1840,ann dno,0.00015907199843375264
post_1840,ann dno,0.00010606703436571913
pre_1760,ann eidem,0.0
industrial_1760_1840,ann eidem,8.565415300278988e-05
post_1840,ann eidem,0.001131381699901004
pre_1760,ann et,4.822879741493646e-05
industrial_1760_1840,ann et,4.89452302873085e-05
post_1840,ann et,0.0
pre_1760,ann fest,2.411439870746823e-05
industrial_1760_1840,ann fest,0.0
post_1840,ann fest,7.071135624381275e-05
pre_1760,ann garsington,2.411439870746823e-05
industrial_1760_1840,ann garsington,9.7890460574617e-05
post_1840,ann garsington,0.0
pre_1760,ann kidlington,0.000313487183197087
industrial_1760_1840,ann kidlington,8.565415300278988e-05
post_1840,ann kidlington,3.5355678121906375e-05
pre_1760,ann leadenhall,4.822879741493646e-05
industrial_1760_1840,ann leadenhall,1.2236307571827126e-05
post_1840,ann leadenhall,0.0
pre_1760,ann longwittenham,4.822879741493646e-05
industrial_1760_1840,ann longwittenham,1.2236307571827126e-05
post_1840,ann longwittenham,0.0
pre_1760,ann lucas,4.822879741493646e-05
industrial_1760_1840,ann lucas,2.447261514365425e-05
post_1840,ann lucas,0.0
pre_1760,ann merton,0.00012057199353734115
industrial_1760_1840,ann merton,6.118153785913563e-05
post_1840,ann merton,0.0
pre_1760,ann mich,0.0014468639224480937
industrial_1760_1840,ann mich,2.447261514365425e-05
post_1840,ann mich,0.0
pre_1760,ann mie,4.822879741493646e-05
industrial_1760_1840,ann mie,1.2236307571827126e-05
post_1840,ann mie,0.0
pre_1760,ann mr,2.411439870746823e-05
industrial_1760_1840,ann mr,8.565415300278988e-05
post_1840,ann mr,0.0
pre_1760,ann pd,7.234319612240469e-05
industrial_1760_1840,ann pd,1.2236307571827126e-05
post_1840,ann pd,0.0
pre_1760,ann pro,0.00033760158190455523
industrial_1760_1840,ann pro,7.341784543096275e-05
post_1840,ann pro,0.0
pre_1760,ann rectori,0.0
industrial_1760_1840,ann rectori,7.341784543096275e-05
post_1840,ann rectori,3.5355678121906375e-05
pre_1760,ann south,0.00012057199353734115
industrial_1760_1840,ann south,2.447261514365425e-05
post_1840,ann south,0.0
pre_1760,ann st,9.645759482987291e-05
industrial_1760_1840,ann st,2.447261514365425e-05
post_1840,ann st,0.0
pre_1760,anne,9.645759482987291e-05
industrial_1760_1840,anne,1.2236307571827126e-05
post_1840,anne,0.0
pre_1760,anni,0.001278063131495816
industrial_1760_1840,anni,0.004135871959277568
post_1840,anni,0.0021213406873143827
pre_1760,anni ad,0.00014468639224480938
industrial_1760_1840,anni ad,6.118153785913563e-05
post_1840,anni ad,3.5355678121906375e-05
pre_1760,anni dno,0.0
industrial_1760_1840,anni dno,0.0003303803044393324
post_1840,anni dno,0.00038891245934097015
pre_1760,anni kidlington,2.411439870746823e-05
industrial_1760_1840,anni kidlington,7.341784543096275e-05
post_1840,anni kidlington,0.0
pre_1760,anni longwittenham,4.822879741493646e-05
industrial_1760_1840,anni longwittenham,3.6708922715481375e-05
post_1840,anni longwittenham,0.0
pre_1760,anni merton,2.411439870746823e-05
industrial_1760_1840,anni merton,3.6708922715481375e-05
post_1840,anni merton,0.0
pre_1760,anni parte,4.822879741493646e-05
industrial_1760_1840,anni parte,0.0002569624590083696
post_1840,anni parte,7.071135624381275e-05
pre_1760,anni parti,0.0
industrial_1760_1840,anni parti,1.2236307571827126e-05
post_1840,anni parti,7.071135624381275e-05
pre_1760,anni partibus,0.0
industrial_1760_1840,anni partibus,0.00011012676814644413
post_1840,anni partibus,7.071135624381275e-05
pre_1760,anni pr,9.645759482987291e-05
industrial_1760_1840,anni pr,0.00013459938329009837
post_1840,anni pr,7.071135624381275e-05
pre_1760,anni praeced,0.0
industrial_1760_1840,anni praeced,9.7890460574617e-05
post_1840,anni praeced,3.5355678121906375e-05
pre_1760,anni praecedentis,0.00012057199353734115
industrial_1760_1840,anni praecedentis,0.0006362879937350105
post_1840,anni praecedentis,0.00038891245934097015
pre_1760,anni praesenti,0.0
industrial_1760_1840,anni praesenti,2.447261514365425e-05
post_1840,anni praesenti,3.5355678121906375e-05
pre_1760,anni praesentis,4.822879741493646e-05
industrial_1760_1840,anni praesentis,0.0005751064558758748
post_1840,anni praesentis,0.00038891245934097015
pre_1760,anni precedentis,2.411439870746823e-05
industrial_1760_1840,anni precedentis,9.7890460574617e-05
post_1840,anni precedentis,3.5355678121906375e-05
pre_1760,anni presentis,0.0
industrial_1760_1840,anni presentis,0.00018354461357740688
post_1840,anni presentis,0.00010606703436571913
pre_1760,anni pro,0.0
industrial_1760_1840,anni pro,2.447261514365425e-05
post_1840,anni pro,7.071135624381275e-05
pre_1760,anni procedentis,2.411439870746823e-05
industrial_1760_1840,anni procedentis,2.447261514365425e-05
post_1840,anni procedentis,3.5355678121906375e-05
pre_1760,annis,0.0018085799030601172
industrial_1760_1840,annis,0.0006240516861631834
post_1840,annis,0.00010606703436571913
pre_1760,annis clifton,7.234319612240469e-05
industrial_1760_1840,annis clifton,2.447261514365425e-05
post_1840,annis clifton,0.0
pre_1760,annis coll,2.411439870746823e-05
industrial_1760_1840,annis coll,3.6708922715481375e-05
post_1840,annis coll,0.0
pre_1760,anno,0.029226651233451494
industrial_1760_1840,anno,0.006668787626645784
post_1840,anno,0.0
pre_1760,anno ad,0.0006993175625165786
industrial_1760_1840,anno ad,0.000293671381723851
post_1840,anno ad,0.0
pre_1760,anno anni,9.645759482987291e-05
industrial_1760_1840,anno anni,1.2236307571827126e-05
post_1840,anno anni,0.0
pre_1760,anno backgate,7.234319612240469e-05
industrial_1760_1840,anno backgate,1.2236307571827126e-05
post_1840,anno backgate,0.0
