year,rank,term,tfidf
1706,2,pro,0.3152459476137687
1706,3,ye,0.28964770663667294
1706,4,pro anno,0.18302824056803213
1706,5,pro mic,0.16828975332424856
1706,6,cudlington,0.16221488696434996
1706,7,mr,0.15795161774844219
1706,8,mich,0.14690580728127786
1706,9,biennio,0.14099037587707713
1706,10,mic,0.13587727323018123
1706,11,ann,0.12914316879787588
1706,12,merton,0.11233403771411438
1706,13,southnewington,0.11181844609416466
1706,14,reed,0.09596321621112677
1706,15,southn,0.0943733262073858
1707,1,pro,0.43704734593982303
1707,2,anno,0.31950165449161605
1707,3,pro anno,0.26363091768127483
1707,4,mr,0.23357791454414004
1707,5,sesquianno,0.22764506086613395
1707,6,ye,0.1864379804332417
1707,7,pro sesquianno,0.16742566127527142
1707,8,biennio,0.15956305925983322
1707,9,ann mich,0.15756237857756478
1707,10,ann,0.14323211345706785
1707,11,pro biennio,0.11428713207320076
1707,12,pro mic,0.11110084288151491
1707,13,mich,0.10668204427076318
1707,14,cuddington,0.09658919875387399
1707,15,mic,0.09226584410014452
1708,1,th,0.43913543076585
1708,2,pro,0.34822414183659306
1708,3,anno,0.3236451401000996
1708,4,pro anno,0.2086326864631134
1708,5,ye,0.19672481037078993
1708,6,sesquianno,0.1746949212686076
1708,7,mich,0.17396917778146143
1708,8,biennio,0.16836704893568458
1708,9,ann mich,0.1385466495579076
1708,10,pro mich,0.13604561126628892
1708,11,cudlingt,0.1234075954248143
1708,12,ann,0.11874895464167706
1708,13,pro sesquianno,0.11041467177531333
1708,14,southn,0.10518496583478201
1708,15,rry,0.09500549566013201
1709,1,anno,0.4053127726127112
1709,2,pro,0.30550150200921006
1709,3,ye,0.23651112195318688
1709,4,biennio,0.22266000676548311
1709,5,cuddington,0.18379640011723408
1709,6,pro anno,0.16721819228425125
1709,7,mr,0.1375733383584358
1709,8,pro biennio,0.12427040778753858
1709,9,annue,0.11751225333255332
1709,10,cudlingt,0.11127448336252757
1709,11,mich,0.11072822340995447
1709,12,consent,0.10998990977606399
1709,13,et officiarys,0.10861017613106283
1709,14,triennio,0.10775882295734053
1709,15,officiarys,0.1061778541964162
1710,1,pro,0.36733601774024616
1710,2,anno,0.3618569443925176
1710,3,ye,0.2768620463847525
1710,4,pro anno,0.25447125566070616
1710,5,mr,0.22546242197782354
1710,6,southn,0.1282950950130138
