term,pre,ind,post,delta_post_vs_pre,delta_ind_vs_pre,change
college,0.0011816055366659433,0.003401693504967941,0.008662141139867062,0.007480535603201119,0.0022200879683019975,post_vs_pre
rent,0.0018085799030601172,0.00489452302873085,0.008131805968038468,0.00632322606497835,0.0030859431256707323,post_vs_pre
rectory,0.0004822879741493646,0.006264989476775488,0.0067882901994060245,0.0063060022252566595,0.005782701502626123,post_vs_pre
repairs,2.411439870746823e-05,0.0012481033723263668,0.0063286663838212414,0.006304551985113773,0.0012239889736188985,post_vs_pre
school,2.411439870746823e-05,0.0010278498360334785,0.005833686890114553,0.005809572491407084,0.0010037354373260102,post_vs_pre
newton,0.0002411439870746823,0.00031814399686750527,0.005409418752651676,0.005168274765576994,7.700000979282297e-05,post_vs_pre
domus,0.00019291518965974583,0.0021291175174979198,0.0052679960401640505,0.005075080850504305,0.0019362023278381739,post_vs_pre
fees,0.00043405917673442813,0.0015295384464783907,0.005409418752651676,0.004975359575917248,0.0010954792697439625,post_vs_pre
kidlington,0.003158986230678338,0.007354020850668102,0.008131805968038468,0.004972819737360129,0.004195034619989765,post_vs_pre
close,0.0,0.0007953599921687632,0.00487908358082308,0.00487908358082308,0.0007953599921687632,post_vs_pre
rate,0.0,0.000587342763447702,0.0048083722245792675,0.0048083722245792675,0.000587342763447702,post_vs_pre
beginning,0.0,2.447261514365425e-05,0.004773016546457361,0.004773016546457361,2.447261514365425e-05,post_vs_pre
rector,0.00033760158190455523,0.0014194116783319466,0.005020506293310706,0.004682904711406151,0.0010818100964273914,post_vs_pre
st,0.0024114398707468228,0.004784396260584406,0.0068943572337717435,0.00448291736302492,0.0023729563898375835,post_vs_pre
room,0.00028937278448961875,0.0008198326073124174,0.004596238155847829,0.004306865371358211,0.0005304598228227987,post_vs_pre
exhibition,4.822879741493646e-05,8.565415300278988e-05,0.004278037052750672,0.004229808255335736,3.742535558785343e-05,post_vs_pre
farm,2.411439870746823e-05,0.00040379814987029513,0.004171970018384953,0.0041478556196774844,0.0003796837511628269,post_vs_pre
receipts,4.822879741493646e-05,0.00040379814987029513,0.004171970018384953,0.004123741220970017,0.00035556935245535865,post_vs_pre
poor,0.00019291518965974583,0.0024227888992217708,0.004171970018384953,0.0039790548287252075,0.002229873709562025,post_vs_pre
chapel,0.0004099447780269599,0.0008565415300278988,0.004313392730872578,0.003903447952845618,0.0004465967520009389,post_vs_pre
bursar,0.0004822879741493646,0.0013582301404728109,0.004313392730872578,0.0038311047567232133,0.0008759421663234463,post_vs_pre
dividends,0.0,0.00022025353629288825,0.003818413237165889,0.003818413237165889,0.00022025353629288825,post_vs_pre
comm,4.822879741493646e-05,0.001162449219323577,0.003429500777824919,0.0033812719804099823,0.0011142204219086406,post_vs_pre
long,0.0013262919289107526,0.002337134746218981,0.004702305190213548,0.003376013261302796,0.0010108428173082283,post_vs_pre
richards,0.00014468639224480938,0.0014071753707601195,0.003464856455946825,0.0033201700637020158,0.0012624889785153102,post_vs_pre
charges,0.00016880079095227762,0.00018354461357740688,0.003429500777824919,0.0032606999868726415,1.4743822625129261e-05,post_vs_pre
rates,0.0,0.001970045519064167,0.0032173667090934803,0.0032173667090934803,0.001970045519064167,post_vs_pre
yarnton,0.0003617159806120234,0.0016763741373403162,0.0035002121340687313,0.003138496153456708,0.001314658156728293,post_vs_pre
cottages,0.0,3.6708922715481375e-05,0.003075943996605855,0.003075943996605855,3.6708922715481375e-05,post_vs_pre
eidem,0.0,0.0005628701483040478,0.0030405883184839487,0.0030405883184839487,0.0005628701483040478,post_vs_pre
tax,0.0019291518965974584,0.006840095932651363,0.004949794937066893,0.003020643040469435,0.004910944036053905,post_vs_pre
stamps,4.822879741493646e-05,0.0006729969164504919,0.003005232640362042,0.0029570038429471055,0.0006247681190355554,post_vs_pre
day,0.00231498227591695,0.0048333414908717145,0.0052679960401640505,0.0029530137642471005,0.0025183592149547645,post_vs_pre
jones,2.411439870746823e-05,0.0006362879937350105,0.002899165605996323,0.002875051207288855,0.0006121735950275424,post_vs_pre
tew,0.00028937278448961875,0.0019333365963486858,0.003146655352849668,0.002857282568360049,0.001643963811859067,post_vs_pre
allowance,0.0002411439870746823,0.0003059076892956781,0.003075943996605855,0.0028348000095311725,6.47637022209958e-05,post_vs_pre
insurance,0.0,0.0007341784543096275,0.00282845424975251,0.00282845424975251,0.0007341784543096275,post_vs_pre
taxes,0.00014468639224480938,0.0009054867603152073,0.002934521284118229,0.00278983489187342,0.000760800368070398,post_vs_pre
furniture,0.0,7.341784543096275e-05,0.0027577428935086977,0.0027577428935086977,7.341784543096275e-05,post_vs_pre
