year,metric,delta,abs_delta_robust_z,is_change_point
1841,amount_median,-3.6541666666666677,1.777292884104572,False
1791,data_rows_per_page,-5.75,1.7761055363321807,False
1764,amount_median,3.6520833333333336,1.775784146511953,False
1766,entry_ratio,0.030999999999999917,1.7431883116883253,False
1807,n_data_rows,-57.0,1.7276666666666667,False
1791,entry_ratio,-0.03080000000000005,1.7256688311688562,False
1751,entry_ratio,0.03059999999999996,1.708149350649368,False
1898,entry_ratio,0.03049999999999997,1.6993896103896284,False
1771,data_rows_per_page,-5.582999999999998,1.6981529411764706,False
1811,data_rows_per_page,5.5710000000000015,1.692551557093427,False
1839,amount_sum_real,9140.567600000002,1.6912055568298379,False
1767,data_rows_per_page,5.550000000000001,1.6827491349480983,False
1865,amount_median,-3.5114583333333336,1.6739443590102057,False
1817,entry_ratio,0.030200000000000005,1.6731103896104103,False
1802,amount_sum_real,-9009.4136,1.655576239441955,False
1801,amount_sum,-13071.422916666666,1.641596363156617,False
1730,entry_ratio,0.02980000000000005,1.6380714285714528,False
1749,entry_ratio,-0.02980000000000005,1.6380714285714528,False
1852,n_data_rows,55.0,1.633,False
1814,amount_sum,12914.216145833332,1.6124089659801617,False
1779,amount_sum_real,8848.4335,1.6118443587823263,False
1741,amount_median,3.4156250000000004,1.6045424297497555,False
1844,amount_sum,-12853.815625,1.6011948561687197,False
1855,n_data_rows,54.0,1.5856666666666666,False
1877,amount_sum,-12600.613541666666,1.5541847322855002,False
1750,data_rows_per_page,-5.25,1.5427145328719734,False
1840,amount_sum_real,-8567.307400000002,1.5354735958401569,False
1825,entry_ratio,-0.02859999999999996,1.532954545454561,False
1867,amount_sum,-12447.502083333333,1.5257576809380804,False
1897,entry_ratio,-0.02849999999999997,1.5241948051948215,False
1802,entry_ratio,0.02839999999999998,1.5154350649350823,False
1779,amount_sum,12201.60625,1.4801040534671346,False
1827,amount_sum,-12197.00885416667,1.4792504896069172,False
1731,data_rows_per_page,-5.079000000000001,1.4628948096885825,False
1829,amount_sum,-12058.402083333334,1.4535164143491317,False
1867,amount_median,-3.2,1.4483880889137424,False
1868,amount_median,3.2,1.4483880889137424,False
1756,n_data_rows,-51.0,1.4436666666666667,False
1736,entry_ratio,-0.02739999999999998,1.4278376623376787,False
1841,amount_sum,11911.012499999997,1.4261517004400652,False
1754,data_rows_per_page,-5.0,1.4260190311418695,False
1860,data_rows_per_page,5.0,1.4260190311418695,False
1870,amount_sum,11869.317708333328,1.4184105424853943,False
1785,entry_ratio,-0.027100000000000013,1.4015584415584605,False
1726,n_data_rows,50.0,1.3963333333333332,False
1817,amount_sum_real,7994.6497,1.3799053101003815,False
1855,amount_sum,11646.144791666666,1.3769757078198848,False
1871,amount_median,3.0999999999999996,1.3759686844680548,False
1803,amount_sum_real,7926.3982,1.3613640962929567,False
1718,entry_ratio,0.026599999999999957,1.3577597402597539,False
1811,amount_sum_real,-7900.5222,1.354334617842213,False
1851,data_rows_per_page,4.831000000000003,1.3471328719723206,False
1831,entry_ratio,0.02640000000000009,1.340240259740285,False
1811,entry_ratio,0.02639999999999998,1.3402402597402752,False
1844,entry_ratio,-0.02629999999999999,1.3314805194805357,False
1792,entry_ratio,-0.0262,1.3227207792207964,False
1800,amount_sum_real,7766.748199999998,1.317993550819884,False
1826,amount_median,3.010416666666668,1.3110929679854615,False
1803,n_data_rows,48.0,1.3016666666666665,False
1824,amount_sum_real,-7679.8253,1.2943800613923786,False
1844,amount_sum_real,-7573.732100000001,1.2655587650880646,False
1884,amount_sum,11026.264583333337,1.2618872180141252,False
1801,amount_median,2.935416666666667,1.2567784146511953,False
1823,amount_median,-2.923958333333333,1.2484803578917933,False
1866,amount_median,2.9072916666666666,1.2364104571508456,False
1792,amount_median,2.9046874999999996,1.2345245351600722,False
1840,entry_ratio,0.0250999999999999,1.2263636363636439,False
1828,amount_median,-2.8869791666666664,1.2217002656228153,False
1758,amount_median,-2.883333333333333,1.2190599748357327,False
1853,entry_ratio,0.02499999999999991,1.2176038961039046,False
1822,amount_median,2.8791666666666664,1.216042499650496,False
1866,amount_sum,10754.802083333328,1.211486820092246,False
1834,n_data_rows,46.0,1.2069999999999999,False
1845,amount_median,-2.854166666666665,1.1979376485390734,False
1740,amount_sum_real,7271.9520999999995,1.183577160247076,False
1825,amount_median,2.8249999999999993,1.176815322242415,False
1856,n_data_rows,-45.0,1.1596666666666666,False
1884,amount_sum_real,7165.549800000008,1.1546718937855094,False
1841,amount_sum_real,7142.812000000002,1.1484949392671386,False
1733,entry_ratio,-0.02410000000000001,1.13876623376625,False
1863,entry_ratio,-0.02410000000000001,1.13876623376625,False
1873,entry_ratio,0.02410000000000001,1.13876623376625,False
1795,data_rows_per_page,4.350000000000001,1.1226107266436,False
1759,n_data_rows,-44.0,1.1123333333333334,False
