year,L1,L2,L3,L4,other,L4A,L4B
1726,0.6259953777859136,0.0,0.09802755022653424,0.0,0.27597707198755206,0.0,0.0
1727,0.6509191044989628,0.0,0.07570989199628066,0.018167513053429656,0.2552034904513268,0.0,0.018167513053429656
1728,0.7170907681528853,0.0,0.23692440707779916,0.004293189034479675,0.041691635734835954,0.0,0.004293189034479675
1729,0.901989150090416,0.0,0.08972546440900872,0.00789084333388131,0.00039454216669406546,0.0,0.00789084333388131
1730,0.9022677754012832,0.0,0.07872248985547804,0.0,0.019009734743238648,0.0,0.0
1731,0.8739111574850229,0.0,0.10743636939165503,0.003165410272342521,0.015487062850979517,0.0,0.003165410272342521
1732,0.9416506781756055,0.0,0.041618631829097245,0.006142910057974755,0.010587779937322342,0.0,0.006142910057974755
1733,0.647426584356528,0.015393814151819198,0.2056582101216295,0.12051494537425064,0.011006445995772602,0.0,0.12051494537425064
1734,0.7304211001284242,0.0,0.2612949629189694,0.0037948761458867636,0.004489060806719708,0.0,0.0037948761458867636
1735,0.6262648229158055,0.005434919356867876,0.34767488254894846,0.006340739249679189,0.014284635928699036,0.0,0.006340739249679189
1736,0.5357001991516657,0.0001616490792468446,0.02015117421891165,0.032318500413821644,0.41166847713635424,0.0,0.032318500413821644
1737,0.6166288577826731,0.0066524184312838726,0.32747295631432677,0.0025548350389881323,0.04669093243272814,0.0,0.0025548350389881323
1738,0.5394679155041849,0.0,0.21846353128736545,0.06741729772817856,0.17465125548027102,0.0,0.06741729772817856
1739,0.728986041339359,0.0,0.16454280375765334,0.005198130224799736,0.1012730246781879,0.0,0.005198130224799736
1740,0.3822828363923399,4.85752933913988e-05,0.4701683606175809,0.13445236416627593,0.013047863530411843,0.13261729752704532,0.0018350666392306213
1741,0.5600933382968485,0.0,0.1319810781118062,0.002015671391085648,0.30590991220025965,0.0,0.002015671391085648
1742,0.5876280697656457,0.1623017614714154,0.2330111535367882,0.0024111682298446117,0.014647846996306016,0.0,0.0024111682298446117
1743,0.5548613536748882,0.2559971155254589,0.09422992416986851,0.0,0.09491160662978447,0.0,0.0
1744,0.4969856750428643,0.0,0.12296233476521451,0.057078593683744766,0.32297339650817647,0.05663612396526613,0.0004424697184786416
1745,0.8258492139636673,0.0,0.07926206018649158,0.003511610261426843,0.0913771155884142,0.0,0.003511610261426843
1746,0.6211153548731516,0.0,0.21372597509483038,0.0198806948953169,0.14527797513670104,0.0,0.0198806948953169
1747,0.7802601272380104,0.0,0.17014616102543906,0.04249715298529827,0.0070965587512522585,0.0,0.04249715298529827
1748,0.4944661912835345,0.09245038396329909,0.34235439313852606,0.0012865263787773015,0.06944250523586318,0.0,0.0012865263787773015
1749,0.1931086754092072,0.07504230511033358,0.11324590792799316,0.01155277543179055,0.6070503361206755,0.0004454797724340829,0.011107295659356468
1750,0.35402196101613254,0.0,0.09708119616529275,0.0014706359419098803,0.5474262068766649,0.0,0.0014706359419098803
