year,amount_real_expenditure,amount_real_income,amount_sum_expenditure,amount_sum_income,n_entries_expenditure,n_entries_income,total_entries,income_share,net_amount,net_amount_real,era
1712,264.9505563705816,284.95424993771974,273.4819642857143,294.1297767857143,20.057142857142857,33.68571428571428,53.74285714285714,0.6267942583732057,20.647812499999986,20.003693567138157,pre_1760
1713,366.91255352403147,201.48490171461864,377.8465476190476,207.4891517857143,47.05714285714286,27.685714285714287,74.74285714285715,0.3704128440366972,-170.3573958333333,-165.42765180941282,pre_1760
1714,71.54760166671302,225.5456590607822,73.50800595238096,231.72561011904762,13.057142857142857,28.685714285714287,41.74285714285715,0.6872005475701574,158.21760416666666,153.99805739406918,pre_1760
1715,42.70801393728223,410.7119773519164,43.77571428571429,420.9797767857143,13.057142857142857,36.68571428571428,49.74285714285714,0.7375071797817346,377.2040625,368.0039634146342,pre_1760
1716,371.897904966798,1224.7086528969107,380.3027976190476,1252.3870684523808,61.05714285714286,124.68571428571428,185.74285714285713,0.6712813413321028,872.0842708333332,852.8107479301127,pre_1760
1717,174.83569981609583,949.5060054751169,178.36738095238096,968.6860267857143,75.05714285714286,125.68571428571428,200.74285714285713,0.6261030458297752,790.3186458333333,774.6703056590211,pre_1760
1718,529.0431217191141,765.2192900888002,538.4600892857143,778.840193452381,87.05714285714286,104.68571428571428,191.74285714285713,0.5459693041275518,240.38010416666668,236.17616836968614,pre_1760
1719,192.82290816661512,812.1097450453493,195.79238095238097,824.6162351190476,56.05714285714286,119.68571428571428,175.74285714285713,0.6810274752072834,628.8238541666666,619.2868368787342,pre_1760
1720,464.0215590184742,835.2835901142294,470.0538392857143,846.1422767857143,70.05714285714286,113.68571428571428,183.74285714285713,0.6187218162027679,376.08843750000005,371.26203109575516,pre_1760
1721,343.7750606310364,914.1659472652086,345.59706845238094,919.0110267857143,75.55714285714286,94.68571428571428,170.24285714285713,0.5561802467063859,573.4139583333333,570.3908866341721,pre_1760
1722,346.42849684480854,921.2219594884867,345.59706845238094,919.0110267857143,75.55714285714286,94.68571428571428,170.24285714285713,0.5561802467063859,573.4139583333333,574.7934626436781,pre_1760
1723,439.9862419965461,1083.8032731781468,435.54238095238094,1072.8568601190477,76.05714285714286,115.68571428571428,191.74285714285713,0.60333780360602,637.3144791666668,643.8170311816007,pre_1760
1724,415.55276177870866,883.8328345744733,408.1559226190476,868.1006101190476,71.05714285714286,104.68571428571428,175.74285714285713,0.5956754999187124,459.9446875,468.2800727957646,pre_1760
1725,386.5493904077793,554.6750317623201,376.692380952381,540.5308184523809,71.05714285714286,72.68571428571428,143.74285714285713,0.505664877757901,163.83843749999994,168.12564135454085,pre_1760
