year,metric,value,delta,abs_delta_robust_z,is_change_point,era
1731,income_amount,1875.3329017857143,-937.4843749999998,0.11317557076326622,False,pre_1760
1732,income_amount,1284.490193452381,-590.8427083333333,-0.2516860757333159,False,pre_1760
1733,income_amount,1331.862068452381,47.371875000000045,-0.823722510301779,False,pre_1760
1734,income_amount,1791.596443452381,459.734375,-0.38968564984516846,False,pre_1760
1735,income_amount,1464.146443452381,-327.45000000000005,-0.5289230800490908,False,pre_1760
1736,income_amount,1275.115193452381,-189.03125,-0.6746173167421182,False,pre_1760
1737,income_amount,1823.849568452381,548.734375,-0.29600768305469083,False,pre_1760
1738,income_amount,1243.021443452381,-580.828125,-0.2622270398335459,False,pre_1760
1739,income_amount,1161.096443452381,-81.92499999999995,-0.7873532238269789,False,pre_1760
1740,income_amount,2546.558943452381,1385.4624999999999,0.5847000642083277,False,pre_1760
1741,income_amount,1786.2079017857143,-760.3510416666666,-0.0732681429163585,False,pre_1760
1742,income_amount,1917.7537351190476,131.54583333333335,-0.7351242488032055,False,pre_1760
1743,income_amount,1378.9224851190477,-538.83125,-0.3064313304128026,False,pre_1760
1744,income_amount,1552.6766517857143,173.7541666666666,-0.6906973853393695,False,pre_1760
1745,income_amount,2243.258943452381,690.5822916666668,-0.14670403780976426,False,pre_1760
1746,income_amount,1569.146443452381,-674.1125000000002,-0.16403950518949556,False,pre_1760
1747,income_amount,1482.6422767857143,-86.5041666666666,-0.782533369636776,False,pre_1760
1748,income_amount,1415.343318452381,-67.2989583333333,-0.8027480310800815,False,pre_1760
1749,income_amount,2337.3391517857144,921.9958333333334,0.09687292928143586,False,pre_1760
1750,income_amount,1741.6631101190476,-595.6760416666668,-0.2465986955143572,False,pre_1760
1751,income_amount,1416.455818452381,-325.2072916666666,-0.5312836683274137,False,pre_1760
1752,income_amount,1770.665193452381,354.2093749999999,-0.5007571941773613,False,pre_1760
1753,income_amount,2599.1787351190474,828.5135416666665,-0.0015229248112357404,False,pre_1760
1754,income_amount,2169.1641517857142,-430.0145833333331,-0.42096755610101044,False,pre_1760
1755,income_amount,1424.149568452381,-745.0145833333333,-0.08941070734819595,False,pre_1760
1756,income_amount,1843.952693452381,419.80312500000014,-0.43171574323171064,False,pre_1760
1757,income_amount,2411.887068452381,567.9343749999998,-0.2757985037021385,False,pre_1760
1758,income_amount,3470.708943452381,1058.821875,0.2408907426221383,False,pre_1760
1759,income_amount,2008.4662351190477,-1462.2427083333332,0.6655159496736754,False,pre_1760
1760,income_amount,2008.4662351190477,0.0,-0.8735843185383259,False,industrial_1760_1840
1761,income_amount,2109.793318452381,101.32708333333312,-0.7669313393532029,False,industrial_1760_1840
1762,income_amount,2513.5006101190475,403.7072916666666,-0.4486575964953632,False,industrial_1760_1840
1763,income_amount,2034.1724851190477,-479.3281249999998,-0.3690620244316752,False,industrial_1760_1840
1764,income_amount,1647.030818452381,-387.14166666666665,-0.4660939343449531,False,industrial_1760_1840
1765,income_amount,1218.002693452381,-429.02812500000005,-0.422005864089664,False,industrial_1760_1840
1766,income_amount,1821.0151934523808,603.0124999999998,-0.23887662247941685,False,industrial_1760_1840
1767,income_amount,3782.8865476190476,1961.8713541666668,1.1914057889090277,False,industrial_1760_1840
1768,income_amount,2188.5584226190476,-1594.328125,0.8045439640108262,False,industrial_1760_1840
1769,income_amount,19.114151785714284,-2169.4442708333336,1.409889033786585,False,industrial_1760_1840
1770,income_amount,1019.3895833333333,1000.2754315476191,0.17926701469592787,False,industrial_1760_1840
1771,income_amount,2564.796354166667,1545.4067708333334,0.7530512337752061,False,industrial_1760_1840
1772,income_amount,3361.008854166667,796.2125000000001,-0.03552175524435719,False,industrial_1760_1840
1773,income_amount,3359.8536458333333,-1.1552083333335759,-0.8723683908092684,False,industrial_1760_1840
1774,income_amount,3088.8468749999997,-271.0067708333336,-0.588333045750465,False,industrial_1760_1840
1775,income_amount,2403.265104166667,-685.5817708333329,-0.15196739314190072,False,industrial_1760_1840
1776,income_amount,3094.108854166667,690.84375,-0.1464288368539544,False,industrial_1760_1840
1777,income_amount,2235.4390625,-858.6697916666667,0.0302183806497234,False,industrial_1760_1840
1778,income_amount,1011.584375,-1223.8546875000002,0.4145979148548814,False,industrial_1760_1840
1779,income_amount,2010.2536458333334,998.6692708333334,0.17757643188634328,False,industrial_1760_1840
1780,income_amount,2283.7911458333333,273.5374999999999,-0.5856692978534913,False,industrial_1760_1840
1781,income_amount,2640.2744791666664,356.4833333333331,-0.49836371335451957,False,industrial_1760_1840
1782,income_amount,2842.461458333333,202.1869791666668,-0.6607701037086403,False,industrial_1760_1840
1783,income_amount,3143.7255208333336,301.26406250000036,-0.5564853877288941,False,industrial_1760_1840
1784,income_amount,2387.1296875,-756.5958333333338,-0.07722073034940653,False,industrial_1760_1840
1785,income_amount,3103.1421875,716.0125000000003,-0.1199371814982481,False,industrial_1760_1840
1786,income_amount,4550.686458333334,1447.5442708333335,0.6500449413591037,False,industrial_1760_1840
1787,income_amount,3710.9677083333336,-839.71875,0.010271245235173272,False,industrial_1760_1840
1788,income_amount,3538.834895833333,-172.13281250000045,-0.6924039601908364,False,industrial_1760_1840
1789,income_amount,3782.2057291666665,243.3708333333334,-0.6174215674959563,False,industrial_1760_1840
1790,income_amount,4303.7390625,521.5333333333333,-0.3246384502222908,False,industrial_1760_1840
1791,income_amount,3670.7140625,-633.0249999999996,-0.20728662272324613,False,industrial_1760_1840
1792,income_amount,3358.6036458333333,-312.1104166666669,-0.5450689337353801,False,industrial_1760_1840
1793,income_amount,5634.461979166666,2275.858333333333,1.5218963710103466,False,industrial_1760_1840
1794,income_amount,6912.239583333333,1277.7776041666666,0.4713550968407878,False,industrial_1760_1840
1795,income_amount,5662.317708333333,-1249.921875,0.4420352308655121,False,industrial_1760_1840
1796,income_amount,5348.7578125,-313.55989583333303,-0.5435432678787685,False,industrial_1760_1840
1797,income_amount,5549.255208333333,200.49739583333303,-0.662548493948975,False,industrial_1760_1840
1798,income_amount,4843.995833333333,-705.2593749999996,-0.13125550606728084,False,industrial_1760_1840
1799,income_amount,5777.116666666667,933.1208333333334,0.10858267513024555,False,industrial_1760_1840
1800,income_amount,8779.566145833332,3002.4494791666657,2.286678182579223,False,industrial_1760_1840
1801,income_amount,6143.246875,-2636.3192708333327,1.9013036489023625,False,industrial_1760_1840
1802,income_amount,2523.836458333333,-3619.4104166666666,2.9360674658842463,True,industrial_1760_1840
1803,income_amount,5243.097916666667,2719.2614583333334,1.9886053959378076,False,industrial_1760_1840
1804,income_amount,4534.169791666667,-708.9281249999995,-0.12739392134073538,False,industrial_1760_1840
1805,income_amount,5292.76875,758.598958333333,-0.07511231824573117,False,industrial_1760_1840
1806,income_amount,4465.407291666666,-827.3614583333338,-0.0027355632858402862,False,industrial_1760_1840
1807,income_amount,4046.975,-418.4322916666665,-0.43315862951795,False,industrial_1760_1840
1808,income_amount,3614.501041666667,-432.47395833333303,-0.4183789128473551,False,industrial_1760_1840
1809,income_amount,8026.011458333333,4411.510416666666,3.769801370319497,True,industrial_1760_1840
1810,income_amount,10784.689583333333,2758.6781249999995,2.0300938587579345,False,industrial_1760_1840
1811,income_amount,7696.979166666667,-3087.710416666666,2.376420556417987,False,industrial_1760_1840
1812,income_amount,6841.738541666667,-855.2406250000004,0.02660897209782473,False,industrial_1760_1840
1813,income_amount,6441.486458333333,-400.25208333333376,-0.4522944155010276,False,industrial_1760_1840
1814,income_amount,4630.495833333333,-1810.9906249999995,1.0325945536708467,False,industrial_1760_1840
1815,income_amount,4196.898958333333,-433.5968750000002,-0.41719697408096723,False,industrial_1760_1840
1816,income_amount,10163.234375,5966.335416666667,5.40635018734202,True,industrial_1760_1840
1817,income_amount,11250.189583333333,1086.9552083333328,0.27050280403455834,False,industrial_1760_1840
1818,income_amount,3733.4260416666666,-7516.763541666666,7.038271023350699,True,industrial_1760_1840
1819,income_amount,6334.554166666667,2601.128125,1.8642628063102975,False,industrial_1760_1840
1820,income_amount,6486.391666666666,151.83749999999964,-0.7137660232287851,False,industrial_1760_1840
1821,income_amount,7047.165625,560.7739583333332,-0.2833352820696214,False,industrial_1760_1840
1822,income_amount,6330.808333333333,-716.3572916666662,-0.11957426709038779,False,industrial_1760_1840
